refseq;oligo_id
NM_024762;H300005238
XM_375664;H300005238
NM_012139;H300010346
NM_016463;H300010331
NM_138964;H300009721
XM_373219;H300009619
XM_499494;H300009619
NM_001005186;H300009605
NM_178034;H300009001
NM_153692;H300008859
NM_006476;H300008172
NM_178832;H300008131
NM_015208;H300012734
NM_024913;H300012028
NM_134266;H300011936
NM_001001323;H300011898
NM_138715;H300011891
NM_032986;H300011222
NM_015238;H300011123
NM_145647;H300010403
NM_138813;H300010389
NM_199227;H300015182
NM_004476;H300015176
NM_021213;H300015135
NM_001001336;H300015024
NM_025099;H300014358
NM_021818;H300014347
NM_014990;H300014246
NM_194301;H300014246
NM_004041;H300014228
NM_020251;H300014228
NM_172390;H300013621
NM_006162;H300013621
NM_172388;H300013621
NM_080871;H300013615
NM_173537;H300013465
NM_001003795;H300013465
NM_002204;H300018400
NM_005501;H300018400
NM_001019;H300018254
NM_001078;H300017539
NM_005563;H300017446
NM_005619;H300016818
NM_170719;H300016805
NM_025138;H300016805
NM_178042;H300016654
NM_004301;H300016654
NM_177989;H300016654
NM_004571;H300016040
NM_001005474;H300020290
NM_031419;H300020290
NM_152396;H300020283
NM_002832;H300020248
NM_080588;H300020248
NM_080589;H300020248
NM_032622;H300019865
NM_016578;H300019798
NM_002208;H300019770
XM_032397;H300019319
XM_037557;H300018845
NM_153186;H300018790
NM_015158;H300018790
NM_002003;H300018783
NM_019844;H300021964
NM_003349;H300021907
NM_022442;H300021907
NM_199203;H300021907
NM_021988;H300021907
NM_199144;H300021907
NM_013334;H300021393
NM_021971;H300021393
NM_203365;H300021386
NM_213589;H300021386
NM_025252;H300021386
NM_000044;H300021349
NM_020393;H300020853
NM_005263;H300020824
NM_001365;H300020797
NM_032963;H300020786
NM_004167;H300020786
NM_032962;H300020786
NM_004166;H300020786
NM_032964;H300020786
NM_203352;H300020764
NM_203353;H300020764
NM_005451;H300020764
NM_213636;H300020764
NM_000579;H300020758
NM_000258;opHsV0400000567
NM_022755;opHsV0400000520
NM_012137;opHsV0400000496
NM_004314;opHsV0400000191
NM_032138;opHsV0400000144
NM_006034;H300022566
NM_100264;H300022550
NM_016628;H300022550
XM_495908;H300022429
NM_030653;H300022429
XM_370674;H300022429
NM_030655;H300022429
NM_004399;H300022429
XM_498286;opHsV0400002071
NM_006802;opHsV0400001689
NM_133510;opHsV0400001623
NM_002877;opHsV0400001623
NM_133509;opHsV0400001623
NM_152415;opHsV0400001319
NM_153757;opHsV0400001266
NM_032272;opHsV0400001248
NM_005425;opHsV0400000937
NM_194299;opHsV0400003522
XM_171855;opHsV0400003193
NM_001005291;opHsV0400003170
NM_004176;opHsV0400003170
NM_181897;opHsV0400002823
NM_145748;opHsV0400002793
NM_145747;opHsV0400002793
NM_006440;opHsV0400002793
NM_001008223;opHsV0400002776
NM_033060;opHsV0400002770
NM_005561;opHsV0400002441
XM_371622;opHsV0400002394
NM_152282;opHsV0400002370
NM_020164;opHsV0400004697
NM_032467;opHsV0400004697
XM_371170;opHsV0400003921
NM_006007;opHsV0400003921
XM_208809;opHsV0400003552
NM_004686;opHsV0400006159
NM_207465;opHsV0400005831
NM_020932;opHsV0400005808
NM_152439;opHsV0400005802
NM_175085;opHsV0400005760
NM_000849;opHsV0400005754
NM_017580;opHsV0400005449
NM_021973;opHsV0400005425
NM_153345;opHsV0400005378
NM_005367;opHsV0400005073
NM_020447;opHsV0400005002
XM_211988;opHsV0400007329
XM_210334;opHsV0400007288
XM_209728;opHsV0400007282
NM_017990;opHsV0400007264
XM_208908;opHsV0400007264
NM_213605;opHsV0400006929
NM_207477;opHsV0400006911
NM_207394;opHsV0400006887
NM_207367;opHsV0400006881
NM_144721;opHsV0400006583
NM_058182;opHsV0400006530
NM_033257;opHsV0400006183
NM_005675;opHsV0400006183
NM_005450;opHsV0400006177
NM_004667;opHsV0400008791
XM_496045;opHsV0400008791
XM_496034;opHsV0400008791
NM_182613;opHsV0400008768
XM_495937;opHsV0400008768
XM_495925;opHsV0400008762
XM_378661;opHsV0400008463
XM_378639;opHsV0400008457
XM_378412;opHsV0400008416
XM_378379;opHsV0400008410
XM_378273;opHsV0400008386
XM_374117;opHsV0400008087
XM_374060;opHsV0400008057
XM_374017;opHsV0400008034
XM_373977;opHsV0400008016
XM_372663;opHsV0400007711
XM_372521;opHsV0400007681
XM_498329;opHsV0400007634
XM_372108;opHsV0400007634
XM_498996;opHsV0400009967
XM_498988;opHsV0400009961
XM_498970;opHsV0400009943
XM_498962;opHsV0400009937
XM_498939;opHsV0400009919
XM_498933;opHsV0400009913
XM_498903;opHsV0400009890
XM_498383;opHsV0400009567
XM_498325;opHsV0400009537
XM_498283;opHsV0400009520
XM_497534;opHsV0400009209
XM_497435;opHsV0400009167
XM_497440;opHsV0400009167
XM_497475;opHsV0400009167
XM_497438;opHsV0400009167
XM_497418;opHsV0400009161
XM_497360;opHsV0400009143
XM_497350;opHsV0400009137
XM_496269;opHsV0400008839
NM_174981;opHsV0400008839
NM_207355;opHsV0400008839
XM_496240;opHsV0400008833
XM_379997;opHsV0400010313
XM_167254;opHsV0400010313
NM_001010856;opHsV0400010290
NM_001002860;opHsV0400011823
NM_022128;H200002045
NM_006147;H200002032
NM_005408;H200001995
NM_020209;H200001433
NM_015527;H200001400
NM_021163;H200001390
NM_007281;H200001365
NM_002573;H200001306
NM_003223;H200000723
NM_000691;H200000146
NM_004460;H200000111
NM_000673;H200000104
NM_001672;H200004357
NM_144591;H200004265
NM_004186;H200004207
NM_020395;H200003625
NM_199415;H200003586
NM_014948;H200003586
NM_033211;H200003577
NM_018047;H200003533
NM_006668;H200003480
NM_005621;H200002824
NM_017828;H200002734
NM_001048;H200002126
NM_182476;H200002087
NM_182480;H200002087
NM_000178;H200006931
NM_001984;H200006903
NM_002291;H200006892
NM_002004;H200006391
NM_003110;H200006352
NM_005056;H200006272
NM_004181;H200006253
NM_024663;H200005753
NM_032494;H200005663
NM_004781;H200005618
NM_001853;H200005066
NM_004345;H200005028
NM_032596;H200004978
NM_015187;H200004938
NM_030974;H200009644
NM_015987;H200009631
NM_032515;H200009583
NM_022168;H200009565
NM_024050;H200008548
NM_033546;H200008415
NM_002690;H200008404
NM_021817;H200007720
NM_006925;H200007704
NM_001331;H200007645
NM_020192;H200007017
NM_001889;H200007005
NM_004344;H200006977
NM_005128;H200012853
NM_003657;H200012799
NM_006923;H200012139
NM_130439;H200012131
NM_005962;H200012131
NM_001008541;H200012131
NM_002799;H200012081
NM_198562;H200012070
NM_018042;H200011401
XM_496999;H200011389
XM_046305;H200011305
NM_006942;H200010702
NM_005357;H200010696
NM_021809;H200010661
NM_005084;H200010575
NM_032941;H200015537
NM_002907;H200015537
NM_019119;H200015431
NM_005613;H200015387
NM_005047;H200014587
NM_004810;H200014541
NM_003121;H200014527
NM_024787;H200013752
NM_138397;H200013654
NM_030567;H200012893
NM_024525;H200019934
NM_004083;H200019847
NM_032137;H200018761
XM_379940;H200018310
XM_376684;H200018310
NM_022474;H200018231
NM_030774;H200018165
NM_016297;H200017327
NM_005465;H200017314
NM_181755;H200017197
NM_005525;H200017197
NM_012183;H200016347
NM_015888;H200016250
NM_152657;H300001745
NM_182477;H300001745
NM_031273;H300001719
NM_173650;H300001631
XM_370866;H300001022
NM_002073;H300001012
XM_496832;H300000979
XM_063630;H300000217
XM_371243;H300000155
NM_013397;H200020119
NM_152132;H200020107
NM_002788;H200020107
NM_175056;H300004633
NM_153709;H300004627
NM_152322;H300004029
NM_145719;H300003898
NM_021783;H300003241
NM_207506;H300003206
NM_031477;H300003160
NM_183059;H300003122
NM_173633;H300002445
NM_032177;H300002365
NM_173597;H300002355
NM_152367;H300006896
NM_206997;H300006859
NM_001011552;H300006228
NM_002500;H300006194
XM_379934;H300006146
XM_376680;H300006146
NM_181521;H300006108
NM_178818;H300006108
NM_001004458;H300006088
NM_144618;H300005454
NM_001010918;H300005330
NM_173831;H300004728
NM_007174;H300009821
XM_496721;H300009756
NM_017660;H300009165
NM_182502;H300009077
XM_379767;H300009065
XM_291222;H300009065
NM_181337;H300009040
XM_042978;H300008444
NM_017953;H300008315
NM_032630;H300008309
NM_153488;H300007730
NM_175742;H300007730
NM_175743;H300007730
NM_005361;H300007730
NM_005052;H300007591
NM_020307;H300012184
NM_022481;H300012145
NM_002455;H300012127
NM_016929;H300012089
NM_198335;H300011430
NM_014610;H300011430
NM_173797;H300011351
XM_029962;H300010607
NM_016315;H300010555
NM_031924;H300010493
NM_004321;H300015268
NM_019894;H300015260
NM_032142;H300014551
NM_018069;H300014551
NM_014415;H300014506
NM_201432;H300013754
NM_145799;H300013693
NM_016611;H300013659
NM_001123;H300017816
NM_022568;H300017713
NM_032378;H300016966
NM_005445;H300016217
NM_003216;H300015367
NM_016127;H300015354
NM_022098;H300015315
NM_005163;H300015304
NM_007072;H300019915
NM_022135;H300019896
NM_022353;H300019885
NM_003452;H300019465
NM_197977;H300019465
NM_015116;H300019434
NM_014640;H300019422
NM_004881;H300018995
NM_147184;H300018995
NM_012414;H300018974
NM_001779;H300018937
NM_006302;H300018908
NM_016413;H300018526
NM_001572;H300018519
NM_004029;H300018519
NM_004030;H300018519
NM_004031;H300018519
NM_032797;H300018451
NM_197966;H300018428
NM_001196;H300018428
NM_197967;H300018428
NM_001983;H300018420
NM_202001;H300018420
NM_173826;H300021527
NM_003324;H300021494
NM_198594;H300021451
NM_030968;H300021451
NM_198593;H300021451
NM_022917;H300020991
NM_130793;H300020991
NM_139235;H300020991
NM_004318;H300020967
NM_152619;H300020922
NM_022405;H300020897
NM_020208;H300020897
NM_033663;H300020476
NM_000796;H300020476
NM_033660;H300020476
NM_033659;H300020476
NM_033658;H300020476
NM_023930;H300020469
NM_018362;H300020417
NM_017767;H300020385
NM_130849;H300020385
NM_018691;H300019982
NM_002501;H300019943
NM_205543;opHsV0400000607
XM_208234;opHsV0400000583
NM_198827;opHsV0400000285
NM_004523;opHsV0400000279
XM_371230;opHsV0400000262
NM_004807;opHsV0400000262
NM_198156;opHsV0400000238
NM_000551;opHsV0400000238
NM_024910;opHsV0400000232
NM_000988;opHsV0400000214
NM_012197;H300022749
NM_015542;H300022683
NM_080599;H300022683
NM_006393;H300022645
NM_213569;H300022645
NM_032682;H300022062
NM_017779;H300021996
XM_371555;opHsV0400001789
NM_052963;opHsV0400001783
XM_498297;opHsV0400001718
XM_056298;opHsV0400001413
NM_152383;opHsV0400001336
NM_002228;opHsV0400001031
NM_175747;opHsV0400000965
NM_002921;opHsV0400000661
XM_497922;opHsV0400003246
NM_005476;opHsV0400003222
NM_181356;opHsV0400002911
NM_181788;opHsV0400002894
XM_375147;opHsV0400002888
NM_145696;opHsV0400002511
NM_003490;opHsV0400002493
NM_133632;opHsV0400002493
NM_207430;opHsV0400002487
XM_496502;opHsV0400002463
NM_032427;opHsV0400002165
NM_018390;opHsV0400002141
NM_005788;opHsV0400002135
NM_173700;opHsV0400004397
NM_002841;opHsV0400004373
NM_015089;opHsV0400004350
NM_025221;opHsV0400004344
NM_175883;opHsV0400004039
XM_372741;opHsV0400004016
XM_058513;opHsV0400003968
XM_290799;opHsV0400003640
NM_014727;opHsV0400003622
NM_153320;opHsV0400003616
NM_201626;opHsV0400005854
NM_201624;opHsV0400005854
NM_015017;opHsV0400005854
XM_375099;opHsV0400005525
NM_017877;opHsV0400005120
NM_001004355;opHsV0400004768
NM_198329;opHsV0400004726
NM_024818;opHsV0400004726
XM_016113;opHsV0400007047
NM_173080;opHsV0400006654
NM_152999;opHsV0400006630
NM_145645;opHsV0400006600
NM_018044;opHsV0400006600
NM_148936;opHsV0400006600
NM_148980;opHsV0400006600
NM_032158;opHsV0400006600
NM_148956;opHsV0400006600
NM_149379;opHsV0400006600
NM_016131;opHsV0400006301
NM_015147;opHsV0400006278
NM_012236;opHsV0400006248
NM_134270;opHsV0400006230
NM_134269;opHsV0400006230
NM_006932;opHsV0400006230
NM_001001561;opHsV0400005925
NM_000875;opHsV0400005919
NM_000609;opHsV0400005902
NM_000506;opHsV0400005896
XM_378874;opHsV0400008509
XM_378848;opHsV0400008503
XM_374277;opHsV0400008151
XM_374248;opHsV0400008133
XM_374191;opHsV0400008127
XM_374161;opHsV0400008110
XM_374145;opHsV0400008104
XM_373395;opHsV0400007805
XM_373367;opHsV0400007799
XM_373180;opHsV0400007781
XM_372992;opHsV0400007757
XM_292046;opHsV0400007382
XM_291974;opHsV0400007376
XM_291161;opHsV0400007358
XM_291001;opHsV0400007352
XM_498603;opHsV0400009685
XM_498560;opHsV0400009656
XM_498530;opHsV0400009632
XM_498507;opHsV0400009614
XM_497597;opHsV0400009238
NM_199163;opHsV0400008927
XM_496585;opHsV0400008927
XM_496513;opHsV0400008909
XM_496492;opHsV0400008903
XM_496340;opHsV0400008862
XM_379100;opHsV0400008557
XM_378993;opHsV0400008533
XM_378970;opHsV0400008527
XM_499124;opHsV0400010055
XM_499104;opHsV0400010037
XM_499096;opHsV0400010031
XM_379551;opHsV0400010031
XM_499097;opHsV0400010031
XM_499045;opHsV0400010007
XM_499026;opHsV0400009990
XM_499016;opHsV0400009984
NM_002413;H200006857
NM_000169;H200005659
NM_005997;H200000616
NM_000146;H300005395
NM_018282;H200002570
NM_005694;H200002561
NM_020738;H200001846
NM_022344;H200001837
NM_032355;H200001239
NM_012157;H200001149
NM_015455;H200001104
NM_001951;H200000594
NM_003296;H200000523
NM_031898;H200004831
NM_005583;H200004771
NM_000502;H200004758
NM_014391;H200004089
NM_004093;H200004052
NM_015683;H200004042
NM_016023;H200004009
NM_020857;H200003336
NM_014571;H200003328
NM_015900;H200002673
NM_003604;H200007478
NM_000033;H200007466
NM_023012;H200006847
NM_198261;H200006847
NM_198262;H200006847
NM_020529;H200006833
NM_001713;H200006795
NM_022438;H200006758
NM_022439;H200006758
NM_002371;H200006758
NM_022440;H200006758
NM_021638;H200006750
NM_198595;H200006750
NM_003248;H200006194
NM_004603;H200006169
NM_001538;H200006116
NM_002165;H200006097
NM_181353;H200006097
NM_015037;H200005563
XM_291064;H200005555
NM_032849;H200005503
NM_052863;H200005487
NM_032786;H200005456
NM_003837;H200005418
NM_004170;H200010471
NM_133450;H200010421
NM_006667;H200010411
NM_000208;H200010381
NM_025136;H200009381
NM_025128;H200009361
NM_025099;H200009296
NM_002754;H200008334
NM_003814;H200008298
NM_002414;H200008269
NM_001739;H200008260
NM_138358;H200007583
XM_054983;H200007572
NM_001057;H200007522
NM_018283;H200013449
NM_024015;H200012623
NM_031949;H200012617
NM_005893;H200011960
NM_003086;H200011873
NM_002666;H200011230
NM_018064;H200011127
NM_006419;H200011070
NM_002550;H200016095
NM_020637;H200016049
NM_000524;H200015995
NM_006798;H200015307
NM_133499;H200015298
NM_006950;H200015298
NM_024884;H200015236
NM_005902;H200015116
NM_001005527;H200014388
NM_182522;H200014388
NM_005279;H200014327
NM_170744;H200014237
NM_020755;H200013577
NM_000093;H200013568
NM_005513;H200013503
NM_198881;H200021249
NM_145005;H200021145
NM_014154;H200019747
NM_213654;H200019747
NM_032219;H200019681
NM_032346;H200019510
NM_153368;H200018055
NM_172314;H200018024
NM_022789;H200018024
NM_001295;H200017981
NM_018922;H200017823
NM_032095;H200017823
XM_044921;H200017052
NM_054112;H200017001
NM_014230;H200016980
NM_004088;H200016932
NM_016540;H200016894
NM_174890;H300002306
XM_370652;H300002233
NM_015879;H300002206
XM_496036;H300002169
NM_152745;H300001523
NM_173586;H300001514
NM_175867;H300001475
NM_013369;H300001475
NM_182761;H300001426
NM_138283;H300000760
NM_152472;H300000675
XM_372578;H300000035
NM_002959;H200021300
NM_001030;H300005165
NM_001005213;H300003774
XM_496288;H300003731
NM_015229;H300003695
NM_001005236;H300003050
NM_024503;H300002950
NM_139055;H300007520
XM_496075;H300006682
NM_005301;H300006630
NM_001010926;H300006017
NM_153834;H300005973
NM_020647;H300005926
NM_000341;H300005877
NM_001002843;H300005284
NM_017661;H300005284
NM_019074;H300005221
NM_001005217;H300005209
XM_379114;H300010264
NM_001010910;H300009689
XM_209363;H300009649
NM_024933;H300009586
NM_145652;H300008974
NM_015259;H300008962
NM_001005187;H300008880
NM_173616;H300008835
NM_152614;H300008206
NM_025134;H300012752
NM_000287;H300012705
NM_001009607;H300011229
NM_139174;H300011184
NM_006380;H300015902
NM_012428;H300015153
NM_020119;H300015099
NM_181506;H300015046
NM_015839;H300014269
NM_024009;H300013599
NM_181720;H300013591
NM_004246;H300013559
NM_003363;H300013444
NM_199443;H300013444
NM_017967;H300018385
XM_371850;H300017580
NM_001224;H300017469
NM_020365;H300016795
NM_004421;H300016750
NM_013445;H300016734
NM_153646;H300016687
NM_153647;H300016687
NM_134425;H300016012
NM_001100;H300020240
NM_021961;H300019821
NM_207518;H300019813
NM_002730;H300019813
NM_006521;H300019789
NM_033360;H300019344
NM_004985;H300019344
NM_002406;H300019277
NM_000324;H300018864
NM_001741;H300018828
NM_014631;H300018797
NM_016139;H300018776
NM_024061;H300021890
NM_000287;H300021827
NM_001008709;H300021376
NM_206873;H300021376
NM_002708;H300021376
NM_014743;H300021368
NM_030918;H300021341
NM_021021;H300021298
NM_020205;H300020847
NM_015944;H300020805
NM_183228;H300020779
NM_183232;H300020779
NM_012481;H300020779
NM_183229;H300020779
NM_183230;H300020779
NM_183231;H300020779
NM_003900;H300020771
NM_032784;H300020331
NM_134425;H300020302
NM_213613;H300020302
NM_022042;H300020302
NM_003304;H300020296
NM_001807;opHsV0400000884
NM_025219;opHsV0400000555
XM_372769;opHsV0400000180
NM_004609;opHsV0400000174
NM_002388;opHsV0400000108
NM_182641;H300022530
NM_004459;H300022530
NM_004489;H300022497
XM_114611;H300022463
XM_378044;H300022463
NM_017509;H300022451
NM_023006;H300022451
NM_004713;H300022416
XM_371208;opHsV0400001988
NM_182566;opHsV0400001677
NM_001010891;opHsV0400001629
NM_152462;opHsV0400001301
XM_062871;opHsV0400001254
NM_017506;opHsV0400001236
NM_004072;opHsV0400000925
XM_370542;opHsV0400003492
XM_497898;opHsV0400003158
NM_002837;opHsV0400002805
NM_178438;opHsV0400002782
NM_181622;opHsV0400002764
NM_181612;opHsV0400002740
XM_496738;opHsV0400002411
XM_377033;opHsV0400002388
NM_207440;opHsV0400004691
XM_497622;opHsV0400004309
NM_198828;opHsV0400004286
NM_024665;opHsV0400004268
NM_002303;opHsV0400004244
NM_004956;opHsV0400003933
XM_372433;opHsV0400003868
NM_173460;opHsV0400003540
NM_153289;opHsV0400003540
NM_003762;opHsV0400006124
NM_201994;opHsV0400006124
NM_178470;opHsV0400005820
NM_003514;opHsV0400005443
NM_139285;opHsV0400005413
NM_003867;opHsV0400005395
NM_032243;opHsV0400005038
NM_002271;opHsV0400004996
XM_211837;opHsV0400007323
XM_211694;opHsV0400007317
XM_208060;opHsV0400007252
NM_138571;opHsV0400006565
NM_001003819;opHsV0400006542
NM_001003827;opHsV0400006542
NM_130390;opHsV0400006542
NM_130389;opHsV0400006542
NM_021616;opHsV0400006542
NM_053004;opHsV0400006524
NM_052860;opHsV0400006518
NM_005036;opHsV0400006500
NM_001001930;opHsV0400006500
NM_032644;opHsV0400006500
NM_181361;opHsV0400006189
NM_005832;opHsV0400006189
NM_005216;opHsV0400006171
XM_495984;opHsV0400008779
XM_378358;opHsV0400008404
XM_378327;opHsV0400008398
XM_374096;opHsV0400008075
XM_374088;opHsV0400008069
XM_374007;opHsV0400008028
XM_373989;opHsV0400008022
XM_372583;opHsV0400007693
XM_372472;opHsV0400007675
NM_012247;opHsV0400007646
XM_372233;opHsV0400007646
NM_003290;opHsV0400007628
XM_372046;opHsV0400007628
XM_498982;opHsV0400009955
XM_498954;opHsV0400009931
XM_498946;opHsV0400009925
XM_498897;opHsV0400009884
XM_373381;opHsV0400009579
XM_498403;opHsV0400009579
XM_498344;opHsV0400009549
XM_497458;opHsV0400009173
XM_497393;opHsV0400009155
XM_496202;opHsV0400008821
XM_496095;opHsV0400008803
NM_130901;opHsV0400008797
XM_496059;opHsV0400008797
NM_020328;opHsV0400010307
NM_004302;opHsV0400010307
NM_020327;opHsV0400010307
NM_001006622;opHsV0400010284
NM_001005521;opHsV0400010278
NM_001002915;opHsV0400010260
NM_014157;H200002018
NM_004832;H200002005
NM_022912;H200001419
NM_133282;H200001379
NM_002853;H200001379
NM_133377;H200001379
NM_005013;H200000751
NM_078481;H200000740
NM_001784;H200000740
NM_002220;H200000669
NM_173217;H200000640
NM_003032;H200000640
NM_173216;H200000640
NM_201434;H200000128
NM_004583;H200000128
NM_004312;H200000082
NM_000595;H200000010
XM_373810;H200004335
NM_001393;H200004290
NM_014795;H200004280
NM_003443;H200004237
NM_018384;H200003608
NM_182848;H200003600
NM_006984;H200003600
NM_003927;H200003551
NM_007173;H200003514
NM_030818;H200003470
NM_007265;H200002844
NM_005842;H200002753
NM_004804;H200002070
NM_000254;H200006920
NM_006627;H200006913
NM_004456;H200006371
NM_152998;H200006371
NM_002167;H200006334
NM_004092;H200006289
NM_000542;H200006280
NM_198843;H200006280
NM_000403;H200006246
NM_001008216;H200006246
NM_017776;H200005648
NM_144679;H200005608
NM_033303;H200005055
NM_017625;H200005005
NM_003745;H200004993
NM_033501;H200004967
NM_033502;H200004967
NM_018415;H200004967
NM_021013;H200009826
XM_378394;H200009717
NM_006542;H200009653
NM_032415;H200009595
NM_139241;H200009545
NM_005507;H200008422
NM_013314;H200007744
NM_000340;H200007737
NM_023933;H200007676
NM_016071;H200006997
NM_053035;H200006997
NM_015140;H200006955
XM_371200;H200012832
NM_020665;H200012821
NM_000358;H200012149
NM_180977;H200012098
NM_180976;H200012098
NM_006245;H200012098
NM_032447;H200012003
NM_001007224;H200011375
NM_024711;H200011375
NM_032246;H200011330
NM_003654;H200011314
NM_152291;H200011272
NM_012263;H200010678
NM_001008572;H200010678
NM_006898;H200010588
NM_015407;H200010551
NM_017521;H200015517
NM_003511;H200015481
NM_020786;H200015464
NM_005762;H200015413
NM_004635;H200015403
NM_006650;H200014555
NM_001008220;H200014555
NM_004984;H200014518
NM_004994;H200013790
NM_003527;H200013772
NM_031292;H200013742
NM_032679;H200012930
NM_023003;H200019893
NM_138429;H200019877
XM_495878;H200018807
NM_001003785;H200018769
NM_173161;H200018694
NM_032556;H200018694
XM_030559;H200018190
NM_014404;H200017359
NM_005891;H200017303
NM_002381;H200017287
NM_018971;H200017250
NM_032134;H200016334
NM_031475;H200016276
NM_002126;H200016237
NM_003290;H200016229
NM_016585;H200016193
NM_199202;H200016193
XM_499139;H300001681
XM_499145;H300001681
XM_499146;H300001681
NM_207445;H300000991
NM_023077;H300000886
NM_002586;H300000240
NM_014577;H300000183
XM_378921;H300000142
NM_001010900;H300000132
NM_178468;H200020028
NM_133468;H300004608
NM_001679;H300004577
NM_002120;H300004003
XM_496112;H300003962
NM_153270;H300003232
NM_138807;H300003223
NM_152654;H300003197
NM_144607;H300003176
NM_007191;H300003153
NM_018555;H300002485
NM_001001919;H300002375
NM_133371;H300006929
NM_206918;H300006829
NM_057176;H300006809
NM_012403;H300006761
NM_001001953;H300006124
NM_001005203;H300005356
NM_207446;H300005322
NM_144689;H300004697
NM_014356;H300009790
NM_152325;H300009094
NM_178510;H300009050
XM_372768;H300007710
NM_020243;H300007562
NM_139125;H300012163
NM_016509;H300012055
NM_018306;H300011409
NM_019607;H300011359
NM_182758;H300011323
NM_152552;H300010512
NM_020234;H300010478
NM_017549;H300009869
NM_153688;H300009840
NM_003605;H300015234
NM_002579;H300013637
NM_152468;H300012999
NM_032599;H300012910
NM_153380;H300012893
NM_005646;H300017737
NM_018984;H300016993
NM_024750;H300016906
NM_021121;H300016150
NM_001003699;H300016093
NM_002955;H300016093
NM_001003698;H300016093
NM_000856;H300016060
NM_004342;H300015331
NM_033157;H300015331
NM_033138;H300015331
NM_033140;H300015331
NM_033139;H300015331
NM_017485;H300019908
NM_017483;H300019908
NM_017486;H300019908
NM_001617;H300019908
NM_017488;H300019908
NM_031305;H300019901
NM_206594;H300019878
NM_001438;H300019878
NM_206595;H300019878
NM_006313;H300019413
NM_033420;H300018919
NM_014988;H300018511
NM_031474;H300018467
NM_197962;H300018434
NM_016066;H300018434
NM_020300;H300018412
NM_145792;H300018412
NM_145791;H300018412
NM_145764;H300018412
NM_174937;H300021509
NM_024590;H300021503
NM_198539;H300021408
NM_153020;H300020982
NM_018314;H300020463
NM_006895;H300020454
NM_000933;H300020430
NM_182797;H300020430
NM_004721;H300019964
NM_133334;H300019935
NM_133332;H300019935
NM_133333;H300019935
NM_007331;H300019935
XM_375282;opHsV0400000595
NM_153329;opHsV0400000577
NM_001264;opHsV0400000268
NM_007155;opHsV0400000250
NM_021624;opHsV0400000244
NM_002034;opHsV0400000202
NM_138971;H300022669
NM_138972;H300022669
NM_012104;H300022669
NM_138973;H300022669
NM_018239;H300022660
NM_207119;H300022660
NM_024513;H300022598
NM_170771;H300022094
NM_022568;H300022094
NM_020357;H300022082
NM_001008743;opHsV0400001754
XM_290540;opHsV0400001724
NM_033184;opHsV0400001706
NM_015633;opHsV0400001402
NM_001002912;opHsV0400001378
XM_371741;opHsV0400001019
NM_030940;opHsV0400001019
NM_031992;opHsV0400000971
