ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_005956	0.43	-1.22	0.76	-0.4	0.7	-0.51	0.67	-0.58	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase (MTHFD1), mRNA.	ILMN_10026	MTHFD1	
BX374545	2.25	1.17	1.62	0.7	1.65	0.72	1.46	0.54	BX374545 Homo sapiens NEUROBLASTOMA COT 10-NORMALIZED Homo sapiens cDNA clone CS0DB006YP07 5-PRIME, mRNA sequence	ILMN_100359		
NM_024661	0.79	-0.35	0.98	-0.03	1.03	0.05	0.86	-0.21	Homo sapiens coiled-coil domain containing 51 (CCDC51), mRNA.	ILMN_10039	CCDC51	
NM_001001132	NaN	NaN	0.71	-0.49	NaN	NaN	NaN	NaN	Homo sapiens intersectin 1 (SH3 domain protein) (ITSN1), transcript variant 2, mRNA.	ILMN_10040	ITSN1	
NM_020169	NaN	NaN	NaN	NaN	2.08	1.05	1.69	0.76	Homo sapiens latexin (LXN), mRNA.	ILMN_10044	LXN	
NM_080430	1.9	0.93	1.15	0.2	0.91	-0.14	0.84	-0.25	Homo sapiens selenoprotein M (SELM), mRNA.	ILMN_1005	SELM	
NM_023015	1.12	0.17	0.77	-0.37	0.67	-0.57	0.73	-0.45	Homo sapiens chromosome 1 open reading frame 60 (C1orf60), mRNA.	ILMN_10054	C1orf60	
NM_144988	0.83	-0.27	0.87	-0.2	0.43	-1.21	0.37	-1.43	Homo sapiens asparagine-linked glycosylation 14 homolog (yeast) (ALG14), mRNA.	ILMN_10059	ALG14	
NM_199416	2.25	1.17	5.62	2.49	1.02	0.03	0.79	-0.33	Homo sapiens papillary renal cell carcinoma (translocation-associated) (PRCC), transcript variant 2, mRNA.	ILMN_10062	PRCC	
NM_181877	1.13	0.18	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens zinc finger and SCAN domain containing 2 (ZSCAN2), transcript variant 1, mRNA.	ILMN_10070	ZSCAN2	
NM_016609	1.24	0.31	0.73	-0.45	1.92	0.94	0.98	-0.03	Homo sapiens solute carrier family 22 (organic cation transporter), member 17 (SLC22A17), transcript variant 2, mRNA.	ILMN_10076	SLC22A17	
NM_001013703	0.92	-0.12	1.05	0.07	0.91	-0.14	1.19	0.25	Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 4 (EIF2AK4), mRNA.	ILMN_10077	EIF2AK4	
CF887450	1.28	0.36	1.27	0.34	0.82	-0.28	0.94	-0.09	UI-CF-EN1-aeg-c-03-18-UI.r18 UI-CF-EN1 Homo sapiens cDNA clone UI-CF-EN1-aeg-c-03-18-UI 5, mRNA sequence	ILMN_100826		
NM_001031725	1.52	0.6	1.24	0.31	0.93	-0.11	0.79	-0.34	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 59 (DDX59), transcript variant 1, mRNA.	ILMN_10085	DDX59	
NM_018947	0.89	-0.16	0.74	-0.44	1.2	0.26	1.51	0.59	Homo sapiens cytochrome c, somatic (CYCS), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_10087	CYCS	
CB987747	1.07	0.09	1.14	0.19	NaN	NaN	0.66	-0.6	AGENCOURT_13631433 NIH_MGC_184 Homo sapiens cDNA clone IMAGE:30327753 5, mRNA sequence	ILMN_100905		
BX356403	1.43	0.52	1.42	0.5	1.01	0.02	0.89	-0.17	BX356403 Homo sapiens PLACENTA COT 25-NORMALIZED Homo sapiens cDNA clone CS0DI011YD16 5-PRIME, mRNA sequence	ILMN_100921		
NM_006694	1.12	0.16	1.18	0.24	0.93	-0.11	0.91	-0.13	Homo sapiens jumping translocation breakpoint (JTB), mRNA.	ILMN_10094	JTB	
NM_015051	1.39	0.48	1.22	0.29	0.87	-0.2	0.8	-0.33	Homo sapiens thioredoxin domain containing 4 (endoplasmic reticulum) (TXNDC4), mRNA.	ILMN_10096	TXNDC4	
NM_014031	1.77	0.82	1.36	0.45	1.01	0.01	0.99	-0.02	Homo sapiens solute carrier family 27 (fatty acid transporter), member 6 (SLC27A6), transcript variant 1, mRNA.	ILMN_10102	SLC27A6	
AW855473	1.52	0.6	1.27	0.35	0.99	-0.02	1.01	0.02	CM0-CT0275-221199-105-c11 CT0275 Homo sapiens cDNA, mRNA sequence	ILMN_101039		
NM_001531	2.04	1.03	1.28	0.35	0.9	-0.15	NaN	NaN	Homo sapiens major histocompatibility complex, class I-related (MR1), mRNA.	ILMN_10108	MR1	
NM_032442	0.55	-0.86	0.7	-0.51	1.23	0.29	1.29	0.37	Homo sapiens KIAA1787 protein (KIAA1787), transcript variant 1, mRNA.	ILMN_1011	KIAA1787	
NM_002108	0.48	-1.05	0.87	-0.2	0.94	-0.09	1.39	0.48	Homo sapiens histidine ammonia-lyase (HAL), mRNA.	ILMN_10110	HAL	
NM_018250	1.15	0.2	0.92	-0.12	0.69	-0.53	0.5	-1.01	Homo sapiens integrator complex subunit 9 (RC74), mRNA.	ILMN_10115	RC74	
NM_006848	1.42	0.51	1.25	0.33	1.11	0.15	1.12	0.16	Homo sapiens hepatitis delta antigen-interacting protein A (DIPA), mRNA.	ILMN_10120	DIPA	
NM_014652	0.71	-0.49	0.85	-0.24	0.75	-0.41	0.8	-0.33	Homo sapiens importin 13 (IPO13), mRNA.	ILMN_10123	IPO13	
NM_000527	4.15	2.05	3.05	1.61	1.3	0.38	2.26	1.17	Homo sapiens low density lipoprotein receptor (familial hypercholesterolemia) (LDLR), mRNA.	ILMN_10126	LDLR	
NM_000167	3.52	1.81	1.42	0.51	0.87	-0.21	0.94	-0.1	Homo sapiens glycerol kinase (GK), transcript variant 2, mRNA.	ILMN_10128	GK	
NM_000617	5.03	2.33	2.82	1.49	1.01	0.01	1.34	0.42	Homo sapiens solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2 (SLC11A2), mRNA.	ILMN_10129	SLC11A2	
NM_178145	0.6	-0.74	1.16	0.22	1.43	0.51	1.05	0.07	Homo sapiens Ras association (RalGDS/AF-6) domain family 4 (RASSF4), transcript variant 2, mRNA.	ILMN_1013	RASSF4	
BX095120	1.62	0.7	1.38	0.46	0.93	-0.11	1.02	0.03	BX095120 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGp998N245924, mRNA sequence	ILMN_101381		
NM_006441	0.36	-1.49	0.58	-0.79	0.48	-1.07	0.34	-1.57	Homo sapiens 5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase) (MTHFS), mRNA.	ILMN_1014	MTHFS	
NM_012243	0.55	-0.86	0.56	-0.84	0.84	-0.26	0.78	-0.36	Homo sapiens solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3 (SLC35A3), mRNA.	ILMN_10145	SLC35A3	
NM_020414	1.39	0.47	1.53	0.62	1.09	0.12	1.19	0.25	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 (DDX24), mRNA.	ILMN_10146	DDX24	
NM_001846	2.23	1.16	1.93	0.95	4.79	2.26	4.96	2.31	Homo sapiens collagen, type IV, alpha 2 (COL4A2), mRNA.	ILMN_1015	COL4A2	
NM_000606	0.53	-0.91	0.7	-0.52	0.33	-1.61	0.27	-1.87	Homo sapiens complement component 8, gamma polypeptide (C8G), mRNA.	ILMN_1016	C8G	
NM_024838	0.43	-1.21	0.51	-0.97	0.99	-0.01	0.51	-0.96	Homo sapiens threonine synthase-like 1 (bacterial) (THNSL1), mRNA.	ILMN_10160	THNSL1	
AK094914	0.99	-0.02	0.8	-0.32	1.05	0.07	1.1	0.13	Homo sapiens cDNA FLJ37595 fis, clone BRCOC2007864	ILMN_101614		
NM_000308	0.72	-0.48	0.95	-0.07	1.37	0.46	1.1	0.13	Homo sapiens protective protein for beta-galactosidase (galactosialidosis) (PPGB), mRNA.	ILMN_10174	PPGB	
CB986720	2.03	1.02	0.88	-0.18	1.06	0.09	0.98	-0.02	AGENCOURT_13567756 NIH_MGC_184 Homo sapiens cDNA clone IMAGE:30326582 5, mRNA sequence	ILMN_101795		
NM_138442	NaN	NaN	0.84	-0.25	NaN	NaN	NaN	NaN	Homo sapiens hypothetical protein BC013949 (LOC115098), mRNA.	ILMN_10186	LOC115098	
NM_014034	NaN	NaN	NaN	NaN	0.79	-0.34	0.71	-0.49	Homo sapiens ASF1 anti-silencing function 1 homolog A (S. cerevisiae) (ASF1A), mRNA.	ILMN_1019	ASF1A	
AK057677	NaN	NaN	NaN	NaN	0.6	-0.73	0.41	-1.27	Homo sapiens cDNA FLJ33115 fis, clone TRACH2001314	ILMN_101903		
NM_207340	0.8	-0.32	0.76	-0.4	0.58	-0.78	0.59	-0.77	Homo sapiens zinc finger, DHHC-type containing 24 (ZDHHC24), mRNA.	ILMN_10196	ZDHHC24	
NM_004667	0.56	-0.84	0.71	-0.49	0.88	-0.18	0.77	-0.38	Homo sapiens hect domain and RLD 2 (HERC2), mRNA.	ILMN_10200	HERC2	
NM_001012960	NaN	NaN	NaN	NaN	0.92	-0.12	0.73	-0.45	Homo sapiens chromosome 1 open reading frame 84 (C1orf84), transcript variant 1, mRNA.	ILMN_10202	C1orf84	
NM_024041	1.4	0.48	1.15	0.2	1.15	0.2	1.12	0.17	Homo sapiens sodium channel modifier 1 (SCNM1), transcript variant 1, mRNA.	ILMN_10204	SCNM1	
NM_001697	0.79	-0.34	0.86	-0.21	1.3	0.38	1.34	0.42	Homo sapiens ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein) (ATP5O), nuclear gene encoding mitochondrial protein, mRNA.	ILMN_10205	ATP5O	
NM_002107	0.97	-0.05	1.04	0.06	1.13	0.18	1.13	0.18	Homo sapiens H3 histone, family 3A (H3F3A), mRNA.	ILMN_10207	H3F3A	
NM_030666	NaN	NaN	NaN	NaN	2.31	1.21	4.02	2.01	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 1 (SERPINB1), mRNA.	ILMN_10210	SERPINB1	
NM_001031726	1.64	0.72	1.28	0.36	0.81	-0.3	1.03	0.04	Homo sapiens chromosome 19 open reading frame 12 (C19orf12), transcript variant 1, mRNA.	ILMN_10211	C19orf12	
NM_016213	0.99	-0.02	0.81	-0.3	1.11	0.15	1.15	0.2	Homo sapiens thyroid hormone receptor interactor 4 (TRIP4), mRNA.	ILMN_10213	TRIP4	
BC015367	1.51	0.6	1.03	0.04	1.49	0.57	1.52	0.61	Homo sapiens, clone IMAGE:3905596, mRNA	ILMN_102192		
NM_173514	0.43	-1.2	0.56	-0.83	1.02	0.03	0.86	-0.22	Homo sapiens hypothetical protein FLJ90709 (FLJ90709), mRNA.	ILMN_10221	FLJ90709	
NM_012449	5.93	2.57	4.05	2.02	0.32	-1.66	0.35	-1.51	Homo sapiens six transmembrane epithelial antigen of the prostate 1 (STEAP1), mRNA.	ILMN_10229	STEAP1	
NM_032270	NaN	NaN	1.93	0.95	NaN	NaN	NaN	NaN	Homo sapiens leucine rich repeat containing 8 family, member C (LRRC8C), mRNA.	ILMN_1023	LRRC8C	
NM_004833	1.2	0.26	2.4	1.26	NaN	NaN	NaN	NaN	Homo sapiens absent in melanoma 2 (AIM2), mRNA.	ILMN_10231	AIM2	
NM_014824	2.15	1.1	1.52	0.6	0.96	-0.06	0.92	-0.13	Homo sapiens FCH and double SH3 domains 2 (FCHSD2), mRNA.	ILMN_10232	FCHSD2	
NM_033423	2.07	1.05	3.21	1.68	1.39	0.47	2.13	1.09	Homo sapiens granzyme H (cathepsin G-like 2, protein h-CCPX) (GZMH), mRNA.	ILMN_10239	GZMH	
NM_014330	7.27	2.86	3.22	1.69	3.34	1.74	4.29	2.1	Homo sapiens protein phosphatase 1, regulatory (inhibitor) subunit 15A (PPP1R15A), mRNA.	ILMN_1024	PPP1R15A	
NM_006575	0.9	-0.15	0.6	-0.74	0.99	-0.02	1.09	0.13	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 5 (MAP4K5), transcript variant 1, mRNA.	ILMN_10246	MAP4K5	
NM_021975	6.1	2.61	4.13	2.05	1.56	0.64	1.41	0.49	Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian) (RELA), mRNA.	ILMN_10254	RELA	
NM_004489	0.93	-0.11	0.87	-0.21	1.13	0.17	1	0	Homo sapiens G protein pathway suppressor 2 (GPS2), mRNA.	ILMN_10256	GPS2	
NM_006804	0.72	-0.47	0.68	-0.57	1.15	0.2	1.15	0.2	Homo sapiens START domain containing 3 (STARD3), mRNA.	ILMN_10258	STARD3	
CD557202	1.42	0.51	1.31	0.39	0.98	-0.03	0.93	-0.1	AGENCOURT_14413614 NIH_MGC_180 Homo sapiens cDNA clone IMAGE:30387341 5, mRNA sequence	ILMN_102695		
NM_005219	0.99	-0.02	0.96	-0.06	1.6	0.68	1.71	0.77	Homo sapiens diaphanous homolog 1 (Drosophila) (DIAPH1), mRNA.	ILMN_1027	DIAPH1	
NM_005858	0.78	-0.37	1.19	0.25	0.59	-0.76	0.55	-0.87	Homo sapiens A kinase (PRKA) anchor protein 8 (AKAP8), mRNA.	ILMN_10271	AKAP8	
AK026373	1.26	0.34	1.05	0.07	1.05	0.07	1.12	0.17	Homo sapiens cDNA: FLJ22720 fis, clone HSI14320	ILMN_102737		
BG828373	1.47	0.56	1.44	0.52	1.08	0.11	1.01	0.02	602751516F1 NIH_MGC_17 Homo sapiens cDNA clone IMAGE:4904306 5, mRNA sequence	ILMN_102745		
NM_005015	0.96	-0.06	1.11	0.15	1.13	0.18	1.04	0.05	Homo sapiens oxidase (cytochrome c) assembly 1-like (OXA1L), mRNA.	ILMN_10280	OXA1L	
NM_000983	1.01	0.01	0.85	-0.23	1.14	0.19	0.96	-0.06	Homo sapiens ribosomal protein L22 (RPL22), mRNA.	ILMN_10289	RPL22	
AI123752	1.64	0.71	1.32	0.4	1	0	0.92	-0.12	oo21c11.x1 Soares_NSF_F8_9W_OT_PA_P_S1 Homo sapiens cDNA clone IMAGE:1566836 3, mRNA sequence	ILMN_102891		
NM_016495	0.88	-0.18	0.63	-0.68	0.98	-0.02	0.85	-0.23	Homo sapiens TBC1 domain family, member 7 (TBC1D7), mRNA.	ILMN_10292	TBC1D7	
NM_021143	NaN	NaN	NaN	NaN	NaN	NaN	0.93	-0.11	Homo sapiens zinc finger protein 20 (KOX 13) (ZNF20), mRNA.	ILMN_10297	ZNF20	
BI521196	1.46	0.55	1.43	0.52	1.05	0.07	1.01	0.02	603081727F1 NIH_MGC_120 Homo sapiens cDNA clone IMAGE:5220871 5, mRNA sequence	ILMN_103033		
NM_001382	0.82	-0.28	1.21	0.28	0.86	-0.21	0.45	-1.15	Homo sapiens dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase) (DPAGT1), transcript variant 1, mRNA.	ILMN_10306	DPAGT1	
NM_018453	0.8	-0.33	0.85	-0.23	0.99	-0.01	0.65	-0.63	Homo sapiens chromosome 14 open reading frame 11 (C14orf11), mRNA.	ILMN_1031	C14orf11	
BC040653	0.71	-0.5	0.65	-0.62	0.54	-0.89	0.58	-0.79	Homo sapiens cDNA clone IMAGE:4797120	ILMN_103172		
NM_057164	0.5	-0.99	0.49	-1.04	2.46	1.3	3.23	1.69	Homo sapiens collagen, type VI, alpha 3 (COL6A3), transcript variant 2, mRNA.	ILMN_1032	COL6A3	
NM_173647	1.82	0.86	1.61	0.69	1.3	0.38	1.54	0.62	Homo sapiens ring finger protein 149 (RNF149), mRNA.	ILMN_10320	RNF149	
DB338803	1.68	0.75	1.37	0.46	1.04	0.05	1.01	0.01	DB338803 TESTI2 Homo sapiens cDNA clone TESTI2045139 3, mRNA sequence	ILMN_103222		
NM_198467	NaN	NaN	NaN	NaN	0.95	-0.08	0.91	-0.14	Homo sapiens round spermatid basic protein 1-like (RSBN1L), mRNA.	ILMN_10323	RSBN1L	
NM_030790	0.56	-0.84	0.67	-0.58	0.74	-0.44	0.71	-0.49	Homo sapiens T-cell immunomodulatory protein (CDA08), mRNA.	ILMN_10328	CDA08	
NM_001012961	NaN	NaN	NaN	NaN	0.78	-0.36	0.77	-0.37	Homo sapiens chromosome 1 open reading frame 84 (C1orf84), transcript variant 2, mRNA.	ILMN_10338	C1orf84	
NM_030877	1.24	0.32	1.4	0.48	1.14	0.19	1.1	0.14	Homo sapiens catenin, beta like 1 (CTNNBL1), mRNA.	ILMN_10345	CTNNBL1	
NM_022070	NaN	NaN	NaN	NaN	0.96	-0.06	0.63	-0.67	Homo sapiens amplified in breast cancer 1 (ABC1), mRNA.	ILMN_10346	ABC1	
AW444622	1.42	0.51	NaN	NaN	NaN	NaN	1.03	0.05	UI-H-BI3-ajw-b-01-0-UI.s1 NCI_CGAP_Sub5 Homo sapiens cDNA clone IMAGE:2733240 3, mRNA sequence	ILMN_103461		
NM_001014283	0.92	-0.12	0.84	-0.25	0.91	-0.14	1.11	0.15	Homo sapiens DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae) (DCUN1D2), transcript variant 2, mRNA.	ILMN_10355	DCUN1D2	
NM_015658	1.27	0.35	1.54	0.63	0.86	-0.22	0.81	-0.3	Homo sapiens nucleolar complex associated 2 homolog (S. cerevisiae) (NOC2L), mRNA.	ILMN_10357	NOC2L	
NM_016937	1.93	0.95	1.42	0.5	0.99	-0.01	1.03	0.05	Homo sapiens polymerase (DNA directed), alpha (POLA), mRNA.	ILMN_10362	POLA	
NM_131917	0.86	-0.21	0.89	-0.16	1	-0.01	1.03	0.05	Homo sapiens Fas (TNFRSF6) associated factor 1 (FAF1), transcript variant 2, mRNA.	ILMN_10367	FAF1	
AA568751	3.25	1.7	2.59	1.38	1.39	0.48	2.32	1.21	nm26f03.s1 NCI_CGAP_Lip2 Homo sapiens cDNA clone IMAGE:1061309, mRNA sequence	ILMN_103674		
AA825273	1.54	0.62	1.44	0.53	0.8	-0.32	1.11	0.15	oc67a02.s1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:1354730 3, mRNA sequence	ILMN_103696		
NM_001025100	0.32	-1.65	0.28	-1.85	1.15	0.2	1.18	0.23	Homo sapiens myelin basic protein (MBP), transcript variant 8, mRNA.	ILMN_10370	MBP	
NM_201397	0.84	-0.26	0.94	-0.09	0.82	-0.28	0.87	-0.2	Homo sapiens glutathione peroxidase 1 (GPX1), transcript variant 2, mRNA.	ILMN_10376	GPX1	
NR_001561	1.22	0.29	0.96	-0.06	1.81	0.86	1.84	0.88	Homo sapiens cytochrome c, somatic-like 1 (CYCSL1) on chromosome 6.	ILMN_10377	CYCSL1	
BC035081	2.62	1.39	3.43	1.78	0.99	-0.02	1.68	0.75	Homo sapiens cDNA clone IMAGE:5260685	ILMN_103797		
CA433032	1.57	0.65	1.28	0.36	1.12	0.16	1.14	0.19	UI-H-CO0-arb-e-03-0-UI.s1 NCI_CGAP_Sub9 Homo sapiens cDNA clone UI-H-CO0-arb-e-03-0-UI 3, mRNA sequence	ILMN_103851		
NM_002940	1.26	0.33	0.9	-0.15	0.76	-0.4	0.79	-0.34	Homo sapiens ATP-binding cassette, sub-family E (OABP), member 1 (ABCE1), mRNA.	ILMN_10386	ABCE1	
NM_021705	1.97	0.98	1.61	0.69	0.96	-0.06	1.23	0.3	Homo sapiens nuclear transcription factor Y, alpha (NFYA), transcript variant 2, mRNA.	ILMN_10390	NFYA	
NM_016009	1.03	0.04	1.25	0.32	1.52	0.6	1.67	0.74	Homo sapiens SH3-domain GRB2-like endophilin B1 (SH3GLB1), mRNA.	ILMN_10394	SH3GLB1	
BE440114	1.31	0.39	1.37	0.46	0.99	-0.01	0.87	-0.19	HTM1-916F HTM1 Homo sapiens cDNA, mRNA sequence	ILMN_103968		
AI699581	1.03	0.04	0.98	-0.02	0.89	-0.17	0.84	-0.25	tt17f06.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:2241059 3, mRNA sequence	ILMN_103974		
CA438159	1.79	0.84	1.28	0.35	1.21	0.27	1.19	0.25	UI-H-DI0-auw-a-16-0-UI.s1 NCI_CGAP_DI0 Homo sapiens cDNA clone UI-H-DI0-auw-a-16-0-UI 3, mRNA sequence	ILMN_104040		
NM_014884	0.68	-0.55	0.73	-0.46	0.97	-0.04	1.02	0.03	Homo sapiens splicing factor, arginine/serine-rich 14 (SFRS14), transcript variant 2, mRNA.	ILMN_10407	SFRS14	
NM_020351	0.66	-0.59	0.75	-0.42	1.57	0.65	1.26	0.34	Homo sapiens collagen, type VIII, alpha 1 (COL8A1), transcript variant 2, mRNA.	ILMN_10408	COL8A1	
NM_152600	NaN	NaN	NaN	NaN	0.62	-0.68	0.63	-0.67	Homo sapiens zinc finger protein 579 (ZNF579), mRNA.	ILMN_10410	ZNF579	
NM_020824	0.85	-0.24	0.81	-0.31	0.73	-0.45	0.83	-0.28	Homo sapiens Rho GTPase activating protein 21 (ARHGAP21), mRNA.	ILMN_10414	ARHGAP21	
NM_022160	0.33	-1.6	0.33	-1.6	0.98	-0.03	0.62	-0.68	Homo sapiens DMRT-like family A1 (DMRTA1), mRNA.	ILMN_10416	DMRTA1	
NM_005760	1.13	0.18	1.06	0.08	1.06	0.09	1.32	0.4	Homo sapiens CCAAT/enhancer binding protein zeta (CEBPZ), mRNA.	ILMN_10421	CEBPZ	
NM_018366	1.11	0.15	1.09	0.12	0.89	-0.17	0.89	-0.17	Homo sapiens cappuccino homolog (mouse) (CNO), mRNA.	ILMN_10423	CNO	
NM_183359	1.07	0.09	1.02	0.03	0.85	-0.24	0.55	-0.87	Homo sapiens bromodomain containing 8 (BRD8), transcript variant 3, mRNA.	ILMN_10431	BRD8	
NM_017907	0.62	-0.7	0.75	-0.42	0.96	-0.06	0.91	-0.14	Homo sapiens hypothetical protein FLJ20625 (FLJ20625), mRNA.	ILMN_10434	FLJ20625	
AI859710	1.06	0.08	1.08	0.11	1.02	0.02	NaN	NaN	wm19e03.x1 NCI_CGAP_Ut4 Homo sapiens cDNA clone IMAGE:2436412 3, mRNA sequence	ILMN_104343		
AW183701	1.68	0.75	1.41	0.5	1.16	0.22	1.19	0.25	xj86g10.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2664162 3, mRNA sequence	ILMN_104385		
NM_003992	1.26	0.33	1.09	0.12	1.13	0.17	1.35	0.43	Homo sapiens CDC-like kinase 3 (CLK3), transcript variant phclk3, mRNA.	ILMN_1044	CLK3	
BE439917	1.56	0.64	1.32	0.41	1.05	0.07	1.04	0.05	HTM1-532F HTM1 Homo sapiens cDNA, mRNA sequence	ILMN_104437		
NM_015062	1.73	0.79	1.95	0.96	0.69	-0.54	0.82	-0.29	Homo sapiens peroxisome proliferative activated receptor, gamma, coactivator-related 1 (PPRC1), mRNA.	ILMN_10445	PPRC1	
AI371376	1.5	0.58	1.31	0.39	1.02	0.03	1.05	0.07	qo83f11.x1 NCI_CGAP_Kid5 Homo sapiens cDNA clone IMAGE:1915149 3, mRNA sequence	ILMN_104473		
NM_016463.5	0.65	-0.61	0.72	-0.47	1.1	0.14	1.28	0.36	Homo sapiens CXXC finger 5 (CXXC5), mRNA.	ILMN_10449	CXXC5	
AA668162	1.93	0.95	1.38	0.47	1.09	0.12	1.15	0.2	ab74h05.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone IMAGE:852729 3 similar to contains element L1 repetitive element 	ILMN_104574		
NM_021826	1.48	0.56	1.54	0.63	1.39	0.48	1.32	0.4	Homo sapiens hypothetical protein FLJ13149 (FLJ13149), mRNA.	ILMN_10466	FLJ13149	
NM_005724	1.4	0.49	1	0	1.41	0.49	1.13	0.18	Homo sapiens tetraspanin 3 (TSPAN3), transcript variant 1, mRNA.	ILMN_10474	TSPAN3	
NM_000852	0.97	-0.05	1.14	0.19	2.07	1.05	1.95	0.97	Homo sapiens glutathione S-transferase pi (GSTP1), mRNA.	ILMN_10475	GSTP1	
NM_005186	0.42	-1.24	0.59	-0.77	1.26	0.33	1.26	0.33	Homo sapiens calpain 1, (mu/I) large subunit (CAPN1), mRNA.	ILMN_10477	CAPN1	
NM_004225	1.78	0.84	1.76	0.81	0.98	-0.02	1.1	0.14	Homo sapiens malignant fibrous histiocytoma amplified sequence 1 (MFHAS1), mRNA.	ILMN_10482	MFHAS1	
AA694065	1.56	0.65	NaN	NaN	NaN	NaN	NaN	NaN	zi51g12.s1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:434374 3, mRNA sequence	ILMN_104916		
NM_181349	1.86	0.89	1.64	0.71	1.26	0.34	1.01	0.01	Homo sapiens SMAD specific E3 ubiquitin protein ligase 1 (SMURF1), transcript variant 2, mRNA.	ILMN_10493	SMURF1	
NM_004596	1.18	0.24	1.08	0.11	1.01	0.02	1.32	0.4	Homo sapiens small nuclear ribonucleoprotein polypeptide A (SNRPA), mRNA.	ILMN_10495	SNRPA	
