ryr2;NM_001035
hmbs;NM_000190
hmbs;NM_001024382
cyp2e1;NM_000773
ptger3;NM_000957
ptger3;NM_001126044
ptger3;NM_198712
ptger3;NM_198713
ptger3;NM_198714
ptger3;NM_198715
ptger3;NM_198716
ptger3;NM_198717
ptger3;NM_198718
ptger3;NM_198719
ace;NM_000789
ace;NM_152830
pros;NM_000313
hgfr;NM_000245
hgfr;NM_001127500
fz;NM_003505
prkcl1;NM_002741
prkcl1;NM_213560
pelp1;NM_014389
rhogefs;NM_004706
rhogefs;NM_198977
rhogefs;NM_199002
epn1;NM_001130071
epn1;NM_001130072
epn1;NM_013333
il3rb;NM_000395
ibabp;NM_001040442
ibabp;NM_001130958
ibabp;NM_001445
irs1;NM_005544
abc1;NM_005502
ddef1;NM_018482
centd1;NM_015230
pp2b;NM_000944
pp2b;NM_001130691
pp2b;NM_001130692
g22p1;NM_001469
il22r1;NM_021258
akap13;NM_006738
akap13;NM_007200
akap13;NM_144767
p4hb;NM_000918
map3k1;NM_005921
pgam1;NM_002629
tf;NM_001063
nono;NM_001145408
nono;NM_001145409
nono;NM_001145410
nono;NM_007363
ptpn7;NM_002832
ptpn7;NM_080588
rps6ka1;NM_001006665
rps6ka1;NM_002953
bmp4;NM_001202
bmp4;NM_130850
bmp4;NM_130851
nrg3;NM_001010848
nrg3;NM_001165972
nrg3;NM_001165973
fshb;NM_000510
fshb;NM_001018080
gli3;NM_000168
cd79b;NM_000626
cd79b;NM_001039933
cd79b;NM_021602
fabp1;NM_001443
madd;NM_001135943
madd;NM_001135944
madd;NM_003682
madd;NM_130470
madd;NM_130471
madd;NM_130472
madd;NM_130473
madd;NM_130474
madd;NM_130475
madd;NM_130476
ncor1;NM_006311
pld2;NM_002663
ncl;NM_005381
gls;NM_014905
pak2;NM_002577
edrf;NM_016633
pkar;NM_002734
pkar;NM_212471
pkar;NM_212472
gfr;NM_012294
nqo1;NM_000903
nqo1;NM_001025433
nqo1;NM_001025434
dvl1;NM_004421
p35;NM_003885
alas2;NM_000032
alas2;NM_001037967
alas2;NM_001037968
chc1;NM_001048194
chc1;NM_001048195
chc1;NM_001048197
chc1;NM_001048198
chc1;NM_001048199
chc1;NM_001269
ptgir;NM_000960
snrpd1;NM_006938
dp103;NM_007204
nme1;NM_000269
nme1;NM_001018136
nme1;NM_001018137
nme1;NM_001018138
nme1;NM_001018139
nme1;NM_002512
nme1;NM_198175
fas;NM_000043
fas;NM_152871
fas;NM_152872
fas;NM_152873
fas;NM_152874
fas;NM_152875
fas;NM_152876
fas;NM_152877
fra2;NM_005253
trka;NM_001007792
trka;NM_001012331
trka;NM_002529
pla2;NM_024420
kis;NM_175866
hds17b4;NM_000414
nrxn;NM_001105250
nrxn;NM_004796
nrxn;NM_138970
snrpe;NM_003094
ship2;NM_001567
c9;NM_001737
c4a;NM_001002029
c4a;NM_007293
myod;NM_002478
lyn;NM_001111097
lyn;NM_002350
pabp;NM_002568
vav2;NM_001134398
vav2;NM_003371
aif;NM_001130846
aif;NM_001130847
aif;NM_004208
aif;NM_145812
aif;NM_145813
pde6a;NM_000440
tf2f;NM_002096
madcam1;NM_130760
madcam1;NM_130762
reck;NM_021111
cdkn1a;NM_000389
cdkn1a;NM_078467
nsf;NM_006178
il22bp;NM_052962
il22bp;NM_181309
il22bp;NM_181310
rhok;NM_002929
hus1;NM_004507
nadph;NM_007052
nadph;NM_013955
eif2g;NM_001415
il1b;NM_000576
thrombin;NM_000506
cd54;NM_000201
oat;NM_000274
oat;NM_001171814
slc25a18;NM_031481
tbxa2r;NM_001060
tbxa2r;NM_201636
cyp7a1;NM_021969
fxr;NM_005123
ddef2;NM_001135191
ddef2;NM_003887
nfasc;NM_001005388
nfasc;NM_001005389
nfasc;NM_001160331
nfasc;NM_001160332
nfasc;NM_001160333
nfasc;NM_015090
mapkapk5;NM_003668
mapkapk5;NM_139078
dkk2;NM_014421
sod1;NM_000454
e2f4;NM_001950
gata3;NM_001002295
gata3;NM_002051
csf1;NM_000757
csf1;NM_172210
csf1;NM_172211
csf1;NM_172212
xpo1;NM_003400
glut4;NM_001042
fancc;NM_000136
arhgef6;NM_004840
fanca;NM_000135
fanca;NM_001018112
rapsyn;NM_005055
rapsyn;NM_032645
c2;NM_000063
c2;NM_001145903
marcks;NM_002356
c8;NM_000562
eea1;NM_003566
igfbp5;NM_000599
gnai;NM_002069
vegf;NM_001025366
vegf;NM_001025367
vegf;NM_001025368
vegf;NM_001025369
vegf;NM_001025370
vegf;NM_001033756
vegf;NM_001171622
vegf;NM_001171623
vegf;NM_001171624
vegf;NM_001171625
vegf;NM_001171626
vegf;NM_001171627
vegf;NM_001171628
vegf;NM_001171629
vegf;NM_001171630
vegf;NM_003376
ccr4;NM_005508
rps6;NM_001010
glud;NM_005271
caspase2;NM_032982
caspase2;NM_032983
crkl;NM_005207
mapk14;NM_001315
mapk14;NM_139012
mapk14;NM_139013
mapk14;NM_139014
b3galt1;NM_020981
mip-1a;NM_002983
eif2c3;NM_024852
eif2c3;NM_177422
achrm1;NM_000738
mdh;NM_005917
lama1;NM_005559
grn;NM_002087
mdm2;NM_001145336
mdm2;NM_001145337
mdm2;NM_001145339
mdm2;NM_001145340
mdm2;NM_002392
mdm2;NM_006878
mdm2;NM_006879
mdm2;NM_006881
mdm2;NM_006882
ctla4;NM_001037631
ctla4;NM_005214
mglur1;NM_000838
mglur1;NM_001114329
baiap2;NM_001144888
baiap2;NM_006340
baiap2;NM_017450
baiap2;NM_017451
proc;NM_000312
ncf2;NM_000433
ncf2;NM_001127651
fosb;NM_001114171
fosb;NM_006732
cyp27b1;NM_000785
b2m;NM_004048
tpiso;NM_000365
tpiso;NM_001159287
snrpa;NM_004596
rheb;NM_005614
tfdp1;NM_007111
traf1;NM_005658
cd86;NM_006889
cd86;NM_175862
il1rap;NM_001167928
il1rap;NM_001167929
il1rap;NM_001167930
il1rap;NM_001167931
il1rap;NM_002182
il1rap;NM_134470
sp100;NM_001080391
sp100;NM_003113
b7h;NM_015259
ppard;NM_001171818
ppard;NM_001171819
ppard;NM_001171820
ppard;NM_006238
ppard;NM_177435
csf1r;NM_005211
il13;NM_002188
creb;NM_004379
creb;NM_134442
e2f1;NM_005225
tsc1;NM_000368
tsc1;NM_001008567
tsc1;NM_001162426
tsc1;NM_001162427
git2;NM_001135213
git2;NM_001135214
git2;NM_014776
git2;NM_057169
git2;NM_057170
git2;NM_139201
shp2;NM_002834
cabin1;NM_012295
gpi;NM_000175
hmgcs1;NM_001098272
hmgcs1;NM_002130
skp2;NM_005983
skp2;NM_032637
nr0b1;NM_000475
hes1;NM_005524
pin1;NM_006221
adam10;NM_001110
tnfsf4;NM_003326
rps6kb2;NM_003952
ptgis;NM_000961
ube2d1;NM_003338
cych;NM_001239
axin;NM_003502
axin;NM_181050
cs;NM_004077
sirt1;NM_001142498
sirt1;NM_012238
plcg;NM_002660
plcg;NM_182811
arhgap5;NM_001030055
arhgap5;NM_001173
mapk1;NM_002745
mapk1;NM_138957
pclo;NM_014510
pclo;NM_033026
stat6;NM_003153
rip;NM_003804
cd40;NM_001250
cd40;NM_152854
supt16h;NM_007192
d1;NM_000794
mapk9;NM_001135044
mapk9;NM_002752
mapk9;NM_139068
mapk9;NM_139069
mapk9;NM_139070
mapk13;NM_002754
twist1;NM_000474
dmd;NM_000109
dmd;NM_004006
dmd;NM_004007
dmd;NM_004009
dmd;NM_004010
dmd;NM_004011
dmd;NM_004012
dmd;NM_004013
dmd;NM_004014
dmd;NM_004015
dmd;NM_004016
dmd;NM_004017
dmd;NM_004018
dmd;NM_004019
dmd;NM_004020
dmd;NM_004021
dmd;NM_004022
dmd;NM_004023
fgf1;NM_000800
fgf1;NM_001144892
fgf1;NM_001144934
fgf1;NM_001144935
fgf1;NM_033136
fgf1;NM_033137
dusp6;NM_001946
dusp6;NM_022652
snrpd2;NM_004597
snrpd2;NM_177542
aldob;NM_000035
fra1;NM_005438
p110;NM_006218
lamr1;NM_001012321
lamr1;NM_002295
map2k7;NM_145185
rbbp4;NM_001135255
rbbp4;NM_001135256
rbbp4;NM_005610
masp;NM_001031849
masp;NM_001879
masp;NM_139125
sp1;NM_003109
sp1;NM_138473
rap1a;NM_001010935
rap1a;NM_002884
cxcr3;NM_001142797
cxcr3;NM_001504
shh;NM_000193
rps6ka2;NM_001006932
rps6ka2;NM_021135
igfbp3;NM_000598
igfbp3;NM_001013398
lep;NM_000230
comp3;NM_003365
cpt2;NM_000098
ccr3;NM_001164680
ccr3;NM_001837
ccr3;NM_178328
ccr3;NM_178329
smarcc1;NM_003074
pklr;NM_000298
pklr;NM_181871
eif1;NM_005801
hsp70;NM_005345
caspase6;NM_001226
caspase6;NM_032992
dlg1;NM_001098424
dlg1;NM_004087
pglyrp;NM_005091
ophn1;NM_002547
pscd2;NM_004228
pscd2;NM_017457
gsh;NM_000178
ga16;NM_002068
mapk3.moved;NM_001040056
mapk3.moved;NM_001109891
mapk3.moved;NM_002746
pde6b;NM_000283
pde6b;NM_001145291
pde6b;NM_001145292
snrpd3;NM_004175
nrip1;NM_003489
pkca;NM_002737
rab1;NM_004161
rab1;NM_015543
cd13;NM_001150
ptgs2;NM_000963
md2;NM_015364
ctcf;NM_006565
map3k6;NM_004672
plk3;NM_004073
c-jun;NM_002228
eef1a1;NM_001402
bclxl;NM_001191
bclxl;NM_138578
profilin;NM_005022
corin;NM_006587
nf1;NM_000267
nf1;NM_001042492
nf1;NM_001128147
elk1;NM_001114123
elk1;NM_005229
cdk6;NM_001145306
cdk6;NM_001259
nmi;NM_004688
pscd3;NM_004227
nup210;NM_024923
src;NM_005417
src;NM_198291
achg;NM_005199
cflar;NM_001127183
cflar;NM_001127184
cflar;NM_003879
eed;NM_003797
eed;NM_152991
hbxip;NM_006402
cat1;NM_003045
l1cam;NM_000425
l1cam;NM_001143963
l1cam;NM_024003
map3k8;NM_005204
cd11c;NM_000887
knsl7;NM_020242
ngfb;NM_002506
cbx4;NM_003655
map3k9;NM_033141
thpo;NM_000460
brca1;NM_007294
brca1;NM_007295
brca1;NM_007296
brca1;NM_007297
brca1;NM_007298
brca1;NM_007299
brca1;NM_007300
brca1;NM_007302
brca1;NM_007303
brca1;NM_007304
brca1;NM_007305
fibromodulin;NM_002023
plce;NM_001165979
plce;NM_016341
il8;NM_000584
tbxas1;NM_001061
tbxas1;NM_001130966
tbxas1;NM_001166253
tbxas1;NM_001166254
tbxas1;NM_030984
eif2b;NM_003908
eif5;NM_001969
eif5;NM_183004
csx;NM_001166175
csx;NM_001166176
csx;NM_004387
snrpg;NM_003096
tbx2;NM_005994
arhgef11;NM_014784
arhgef11;NM_198236
makt;NM_001165417
makt;NM_001165418
makt;NM_003562
ptp1;NM_002849
ptp1;NM_130846
cycb;NM_031966
alas1;NM_000688
alas1;NM_199166
bag4;NM_004874
fkbp12;NM_000801
fkbp12;NM_054014
abcb1a;NM_000443
abcb1a;NM_018849
abcb1a;NM_018850
gsadh;NM_001161504
gsadh;NM_003748
gsadh;NM_170726
mmp2;NM_001127891
mmp2;NM_004530
rho;NM_000539
cd21;NM_001006658
cd21;NM_001877
irak;NM_001025242
irak;NM_001025243
irak;NM_001569
ptger4;NM_000958
mafg;NM_002359
mafg;NM_032711
arhgap6;NM_006125
arhgap6;NM_013423
arhgap6;NM_013427
tirap;NM_001039661
tirap;NM_148910
req;NM_006268
ahr;NM_001621
egf;NM_001963
grip1;NM_021150
mafk;NM_002360
vip;NM_003381
vip;NM_194435
bard1;NM_000465
tnfsf9;NM_003811
gat;NM_001166695
gat;NM_001166696
gat;NM_004172
cysltr2;NM_020377
tf2e;NM_005513
p53;NM_000546
p53;NM_001126112
p53;NM_001126113
p53;NM_001126114
p53;NM_001126115
p53;NM_001126116
p53;NM_001126117
parkin;NM_004562
parkin;NM_013987
parkin;NM_013988
bmi1;NM_005180
rap1b;NM_001010942
rap1b;NM_001089704
rap1b;NM_015646
lxr;NM_001130101
lxr;NM_001130102
lxr;NM_005693
eno1;NM_001428
gfap;NM_001131019
gfap;NM_002055
gr;NM_000176
gr;NM_001018074
gr;NM_001018075
gr;NM_001018076
gr;NM_001018077
gr;NM_001020825
gr;NM_001024094
tf2b;NM_001514
psma7;NM_002792
prkcz;NM_001033581
prkcz;NM_001033582
prkcz;NM_002744
gtf3c1;NM_001520
pslplg;NM_003006
fap;NM_006264
fap;NM_080683
fap;NM_080684
fap;NM_080685
stk6;NM_003600
stk6;NM_198433
stk6;NM_198434
stk6;NM_198435
stk6;NM_198436
stk6;NM_198437
epb41;NM_001166005
epb41;NM_001166006
epb41;NM_001166007
epb41;NM_004437
epb41;NM_203342
epb41;NM_203343
tfr;NM_001128148
tfr;NM_003234
terf1;NM_003218
terf1;NM_017489
abcc1;NM_004996
abcc1;NM_019862
abcc1;NM_019898
abcc1;NM_019899
abcc1;NM_019900
il10;NM_000572
ldb1;NM_001113407
ldb1;NM_003893
wif-1;NM_007191
cd40l;NM_000074
nr2f1;NM_005654
mbtps2;NM_015884
mbtps2;NM_206923
notch;NM_017617
hras;NM_001130442
hras;NM_005343
hras;NM_176795
madh7;NM_005904
baat;NM_001127610
baat;NM_001701
ncam1;NM_000615
ncam1;NM_001076682
ncam1;NM_181351
pdzk1;NM_002614
dream;NM_001034914
dream;NM_013434
hdac5;NM_001015053
hdac5;NM_005474
il7;NM_000880
nfyb;NM_006166
ezh1;NM_001991
lrp6;NM_002336
crk;NM_005206
crk;NM_016823
pg-lb;NM_004950
cd80;NM_005191
epha4;NM_004438
cd34;NM_001025109
cd34;NM_001773
gli1;NM_001160045
gli1;NM_001167609
gli1;NM_005269
delta;NM_005618
ptgs1;NM_000962
ptgs1;NM_080591
ptger2;NM_000956
timp2;NM_003255
pak65;NM_002577
acs;NM_001076552
acs;NM_018677
hmg14;NM_004965
abcb11;NM_003742
lif;NM_002309
il2ra;NM_000417
egr3;NM_004430
blnk;NM_001114094
blnk;NM_013314
hdac2;NM_001527
madh5;NM_001001419
madh5;NM_001001420
madh5;NM_005903
sfn;NM_006142
gpld1;NM_001503
gpld1;NM_177483
tgfbr2;NM_001024847
tgfbr2;NM_003242
eif4b;NM_001417
nrg2;NM_004883
nrg2;NM_013981
nrg2;NM_013982
nrg2;NM_013983
btg2;NM_006763
grb2;NM_002086
grb2;NM_203506
hck;NM_001172129
hck;NM_001172130
hck;NM_001172131
hck;NM_001172132
hck;NM_001172133
hck;NM_002110
raf1;NM_002880
ems1;NM_005231
ems1;NM_138565
rbl2;NM_005611
il12rb2;NM_001559
mapk7;NM_002749
mapk7;NM_139032
mapk7;NM_139033
mapk7;NM_139034
cd7;NM_006137
ifnb;NM_002176
tap1;NM_000593
pml;NM_002675
pml;NM_033238
pml;NM_033239
pml;NM_033240
pml;NM_033244
pml;NM_033246
pml;NM_033247
pml;NM_033249
pml;NM_033250
fech;NM_000140
fech;NM_001012515
f2r;NM_001992
apo2l;NM_003810
fgr;NM_001042729
fgr;NM_001042747
fgr;NM_005248
gabarap;NM_007278
vamp2;NM_014232
itgb3;NM_000212
dlg2;NM_001142699
dlg2;NM_001142700
dlg2;NM_001142702
dlg2;NM_001364
il6ra;NM_000565
il6ra;NM_181359
caspase10;NM_001230
caspase10;NM_032974
caspase10;NM_032977
rab11;NM_004663
caspase1;NM_001223
caspase1;NM_033292
caspase1;NM_033293
caspase1;NM_033294
caspase1;NM_033295
cd8;NM_001145873
cd8;NM_001768
cd8;NM_171827
smarcb1;NM_001007468
smarcb1;NM_003073
sp3;NM_001017371
sp3;NM_003111
rhogap;NM_001030055
rhogap;NM_001173
pias1;NM_016166
tlr2;NM_003264
tgfbr1;NM_001130916
tgfbr1;NM_004612
carm1;NM_199141
rsn;NM_002956
rsn;NM_198240
cd28;NM_006139
por;NM_000941
map2k1;NM_002755
cdk2;NM_001798
cdk2;NM_052827
gah;NM_004613
gah;NM_198951
serpinc1;NM_000488
cyp4b1;NM_000779
cyp4b1;NM_001099772
tip1;NM_014604
tfpi;NM_001032281
tfpi;NM_006287
znf147;NM_005082
asph;NM_001164750
asph;NM_001164751
asph;NM_001164752
asph;NM_001164753
asph;NM_001164754
asph;NM_001164755
asph;NM_001164756
asph;NM_004318
asph;NM_020164
asph;NM_032466
asph;NM_032467
asph;NM_032468
tfiid;NM_004606
tfiid;NM_138923
rab5;NM_004162
hdac6;NM_006044
ets2;NM_005239
rps6ka5;NM_004755
rps6ka5;NM_182398
brca2;NM_000059
csl;NM_005349
csl;NM_015874
csl;NM_203283
csl;NM_203284
nibrin;NM_002485
fancg;NM_004629
mbtps1;NM_003791
nsep1;NM_004559
trx;NM_005709
trx;NM_153676
trap220;NM_004774
tnf;NM_000594
hand1;NM_004821
cad;NM_004402
cad;NM_014704
pai1;NM_000602
pai1;NM_001165413
sdf1;NM_000609
sdf1;NM_001033886
sdf1;NM_199168
cdc6;NM_001254
pdgfb;NM_002608
pdgfb;NM_033016
traf5;NM_001033910
traf5;NM_004619
traf5;NM_145759
alpha_actin;NM_001100
dut;NM_001025248
dut;NM_001025249
dut;NM_001948
arnt;NM_001668
arnt;NM_178426
arnt;NM_178427
ets1;NM_001143820
ets1;NM_001162422
ets1;NM_005238
cyp8b1;NM_004391
tcf;NM_000545
musk;NM_001166280
musk;NM_001166281
musk;NM_005592
rxr;NM_002957
erg1;NM_022034
mlck;NM_053025
mlck;NM_053026
mlck;NM_053027
mlck;NM_053028
mlck;NM_053031
mlck;NM_053032
lamb1;NM_002291
plg;NM_000301
plg;NM_001168338
mapkapk2;NM_004759
mapkapk2;NM_032960
f13a;NM_000129
hspa5;NM_005347
calr;NM_004343
dusp4;NM_001394
dusp4;NM_057158
fbi1;NM_015898
rcv1;NM_002903
erbb2;NM_001005862
erbb2;NM_004448
p130;NM_001170714
p130;NM_001170715
p130;NM_001170716
p130;NM_001170717
p130;NM_001170718
p130;NM_001170719
p130;NM_001170720
p130;NM_001170721
p130;NM_014567
syk;NM_001135052
syk;NM_003177
tnni;NM_003281
cpt1;NM_001031847
cpt1;NM_001876
alox5;NM_000698
apoa2;NM_001643
pde2;NM_001143839
pde2;NM_001146209
pde2;NM_002599
adam12;NM_003474
adam12;NM_021641
nup62;NM_012346
nup62;NM_016553
nup62;NM_152899
nup62;NM_153718
nup62;NM_153719
nup62;NM_172374
snap25;NM_003081
snap25;NM_130811
gnaq;NM_002072
pp1;NM_001008709
pp1;NM_002708
pp1;NM_206873
rps6ka4;NM_001006944
rps6ka4;NM_003942
cdkn2a;NM_000077
cdkn2a;NM_058195
cdkn2a;NM_058197
agtr2;NM_000686
madh3;NM_001145102
madh3;NM_001145103
madh3;NM_001145104
madh3;NM_005902
cd11b;NM_000632
cd11b;NM_001145808
cat;NM_001752
furin;NM_002569
srebp1;NM_001005291
srebp1;NM_004176
erm;NM_004454
slc25a22;NM_024698
tnfrsf1b;NM_001066
il16;NM_004513
il16;NM_172217
grks;NM_001004056
grks;NM_001004057
grks;NM_182982
cd58;NM_001144822
cd58;NM_001779
wnt;NM_005430
sara;NM_004799
sara;NM_007323
sara;NM_007324
numa;NM_006185
ral;NM_005402
f12;NM_000505
acc;NM_198834
acc;NM_198836
acc;NM_198837
acc;NM_198838
acc;NM_198839
sra1;NM_001035235
gata1;NM_002049
sod2;NM_000636
sod2;NM_001024465
sod2;NM_001024466
madh2;NM_001003652
madh2;NM_001135937
madh2;NM_005901
topo2b;NM_001068
lmnb1;NM_005573
comp1;NM_004541
edn1;NM_001168319
edn1;NM_001955
jund;NM_005354
chaf1a;NM_005483
ubc9;NM_003345
ubc9;NM_194259
ubc9;NM_194260
ubc9;NM_194261
akap8;NM_005858
bcl2;NM_000633
bcl2;NM_000657
prkri;NM_006260
hdac4;NM_006037
acly;NM_001096
acly;NM_198830
t;NM_000387
urod;NM_000374
nsmaf;NM_001144772
nsmaf;NM_003580
mkp1;NM_004417
bradykinin;NM_000893
bradykinin;NM_001102416
bradykinin;NM_001166451
atf2;NM_001880
ifngr2;NM_005534
prkcb1;NM_002738
prkcb1;NM_212535
gng;NM_021955
gphn;NM_001024218
gphn;NM_020806
ibsp;NM_004967
tid1;NM_001135110
tid1;NM_005147
cryz;NM_001130042
cryz;NM_001130043
cryz;NM_001134759
cryz;NM_001889
mbl;NM_000242
cdk7;NM_001799
gpt;NM_005309
arfgef2;NM_006420
rasgap;NM_002890
rasgap;NM_022650
mzf2;NM_003422
mzf2;NM_198055
lef1;NM_001130713
lef1;NM_001130714
lef1;NM_001166119
lef1;NM_016269
rad17;NM_002873
rad17;NM_133338
rad17;NM_133339
rad17;NM_133340
rad17;NM_133341
rad17;NM_133342
rad17;NM_133343
rad17;NM_133344
gmcsf;NM_000758
cyp26a1;NM_000783
cyp26a1;NM_057157
pcaf;NM_003884
apaf1;NM_001160
apaf1;NM_013229
apaf1;NM_181861
apaf1;NM_181868
apaf1;NM_181869
uba1;NM_001005781
uba1;NM_001005782
uba1;NM_003352
flt3;NM_004119
cdc25a;NM_001789
cdc25a;NM_201567
carntine%20palmitoyl%20transferase%201;NM_001145134
carntine%20palmitoyl%20transferase%201;NM_001145135
carntine%20palmitoyl%20transferase%201;NM_001145136
carntine%20palmitoyl%20transferase%201;NM_001145137
carntine%20palmitoyl%20transferase%201;NM_004377
carntine%20palmitoyl%20transferase%201;NM_152245
carntine%20palmitoyl%20transferase%201;NM_152246
carntine%20palmitoyl%20transferase%201;NM_152247
gsf3;NM_000759
gsf3;NM_172219
gsf3;NM_172220
pscd1;NM_004762
pscd1;NM_017456
muc2;NM_002457
act;NM_001170807
act;NM_020482
ccnd3;NM_001136017
ccnd3;NM_001136125
ccnd3;NM_001136126
ccnd3;NM_001760
bmp10;NM_014482
eps15;NM_001159969
eps15;NM_001981
skp1;NM_006930
skp1;NM_170679
ahsp;NM_016633
vdr;NM_000376
vdr;NM_001017535
kremen2;NM_024507
kremen2;NM_172229
gro;NM_005077
gna12;NM_007353
cd18;NM_000211
cd18;NM_001127491
hgf;NM_000601
hgf;NM_001010931
