ENSG00000104825;NM_001001716
ENSG00000138738;NM_018699
ENSG00000125510;NM_000913
ENSG00000136689;NM_173842
ENSG00000198561;NM_001085458
ENSG00000158805;NM_001113525
ENSG00000135018;NM_053067
ENSG00000198836;NM_015560
ENSG00000107864;NM_014912
ENSG00000180066;NM_173541
ENSG00000130592;NM_001013253
ENSG00000212640;NM_001127387
ENSG00000081985;NM_001559
ENSG00000137166;NM_001012426
ENSG00000183032;NM_001171170
ENSG00000222005;XM_373985
ENSG00000115257;NM_017573
ENSG00000172409;NM_006831
ENSG00000196678;NM_080663
ENSG00000185112;NM_153690
ENSG00000160055;NM_019118
ENSG00000087448;NM_020782
ENSG00000087589;NM_001164114
ENSG00000180433;NM_001005184
ENSG00000137273;NM_001452
ENSG00000109851;NM_001029865
ENSG00000205571;NM_022874
ENSG00000133328;NM_017878
ENSG00000092470;NM_024908
ENSG00000107338;NM_003028
ENSG00000196083;NM_002182
ENSG00000175609;NM_001005170
ENSG00000126432;NM_181652
ENSG00000141198;NM_005486
ENSG00000007372;NM_001127612
ENSG00000197042;NM_001105575
ENSG00000203747;NM_001127592
ENSG00000182393;NM_172140
ENSG00000182584;NM_001024675
ENSG00000116151;NM_024848
ENSG00000110448;NM_014207
ENSG00000070423;NM_194460
ENSG00000128626;NM_021107
ENSG00000120669;NM_001144981
ENSG00000166349;NM_000448
ENSG00000221912;NM_020315
ENSG00000143537;NM_207197
ENSG00000134470;NM_002189
ENSG00000125848;NM_013281
ENSG00000070476;NM_001040653
ENSG00000205777;NM_001098411
ENSG00000215704;NM_015849
ENSG00000168930;XM_001725025
ENSG00000145741;NM_001207
ENSG00000152229;NM_024430
ENSG00000110619;NM_001014437
ENSG00000158125;NM_000379
ENSG00000168994;NM_183373
ENSG00000123384;NM_002332
ENSG00000131730;NM_001099736
ENSG00000089199;NM_001819
ENSG00000198090;XM_002343514
ENSG00000135773;NM_016452
ENSG00000163322;NM_139076
ENSG00000104375;NM_006281
ENSG00000176720;NM_032515
ENSG00000162813;NM_006085
ENSG00000133110;NM_001135935
ENSG00000213199;NM_020322
ENSG00000025800;NM_012316
ENSG00000197852;NM_198926
ENSG00000011451;NM_021241
ENSG00000220874;XM_001722159
ENSG00000111652;NM_001164095
ENSG00000188611;NM_001143974
ENSG00000125245;NM_001098200
ENSG00000108946;NM_212472
ENSG00000046653;NM_001001994
ENSG00000179051;NM_001136204
ENSG00000143847;NM_015053
ENSG00000129465;NM_006871
ENSG00000205423;NM_153261
ENSG00000181464;NM_031456
ENSG00000111087;NM_001167609
ENSG00000141665;NM_001142958
ENSG00000156239;NM_182749
ENSG00000086232;NM_001134335
ENSG00000069431;NM_020298
ENSG00000087245;NM_001127891
ENSG00000123689;NM_015714
ENSG00000213992;XM_935704
ENSG00000109738;NM_001166061
ENSG00000143079;NM_018704
ENSG00000163931;NM_001064
ENSG00000152766;NM_144590
ENSG00000121742;NM_001110219
ENSG00000182308;NM_001029955
ENSG00000206107;NM_001077711
ENSG00000160916;NM_001039178
ENSG00000204469;NM_080686
ENSG00000172175;NM_006785
ENSG00000148180;NM_198252
ENSG00000008517;NM_001012633
ENSG00000214819;XM_932309
ENSG00000112514;NM_001014840
ENSG00000143224;NM_001122764
ENSG00000171819;NM_021146
ENSG00000118514;NM_170771
ENSG00000176678;NM_005250
ENSG00000070193;NM_004465
ENSG00000148335;NM_014064
ENSG00000124205;NM_207034
ENSG00000105698;NM_003367
ENSG00000182836;NM_001005473
ENSG00000168418;NM_172347
ENSG00000155265;NM_001010917
ENSG00000136856;NM_014580
ENSG00000110665;NM_001142946
ENSG00000198185;NM_199441
ENSG00000203791;NM_212554
ENSG00000131650;NM_172229
ENSG00000197165;NM_177528
ENSG00000212739;XM_001723412
ENSG00000178604;NM_001039884
ENSG00000203970;NM_001037728
ENSG00000188379;NM_000605
ENSG00000105492;NM_198845
ENSG00000162910;NM_181454
ENSG00000145912;NM_001034833
ENSG00000175482;NM_021173
ENSG00000106344;NM_001166135
ENSG00000185499;NM_001044392
ENSG00000187871;NM_207410
ENSG00000156453;NM_032420
ENSG00000172023;NM_006507
ENSG00000106330;NM_023948
ENSG00000155754;NM_001168216
ENSG00000196682;XM_001718684
ENSG00000186222;NM_018366
ENSG00000115556;NM_032726
ENSG00000189357;NM_001145197
ENSG00000111615;NM_007043
ENSG00000175105;NM_018293
ENSG00000149179;NM_001003678
ENSG00000100299;NM_001085426
ENSG00000196966;NM_003532
ENSG00000108384;NM_002876
ENSG00000095794;NM_182724
ENSG00000212722;NM_001146041
ENSG00000186572;NM_001037668
ENSG00000183137;NM_001083535
ENSG00000154328;NM_001135748
ENSG00000144029;NM_031902
ENSG00000188992;NM_198996
ENSG00000180011;NM_175907
ENSG00000185862;NM_006495
ENSG00000079101;NM_014410
ENSG00000139233;XM_001725600
ENSG00000015475;NM_197967
ENSG00000181291;NM_207313
ENSG00000072682;NM_001142598
ENSG00000178567;NM_014805
ENSG00000105722;NM_006494
ENSG00000184750;NM_175742
ENSG00000122034;NM_002097
ENSG00000171885;NM_001650
ENSG00000042088;NM_001008744
ENSG00000203847;NM_001164262
ENSG00000184905;NM_080390
ENSG00000189229;NM_024011
ENSG00000154822;NM_015184
ENSG00000101365;NM_174856
ENSG00000187037;NM_181791
ENSG00000204099;NM_001167602
ENSG00000217416;NM_001080540
ENSG00000196151;NM_152528
ENSG00000217977;NM_001098405
ENSG00000197969;NM_001018038
ENSG00000181984;XM_001724259
ENSG00000143140;NM_181703
ENSG00000213096;NM_203282
ENSG00000134247;NM_020440
ENSG00000117834;NM_001135181
ENSG00000197555;NM_015556
ENSG00000166260;NM_001162861
ENSG00000217473;NM_001040152
ENSG00000213892;NM_001039213
ENSG00000065526;NM_015001
ENSG00000189308;NM_001115007
ENSG00000140854;NM_005886
ENSG00000181045;NM_001166349
ENSG00000117533;NM_003762
ENSG00000032444;NM_001166114
ENSG00000119321;NM_015258
ENSG00000173253;NM_001130865
ENSG00000104112;NM_013243
ENSG00000187049;NM_016499
ENSG00000197914;NM_003538
ENSG00000204359;NM_001710
ENSG00000102290;NM_001168360
ENSG00000196188;NM_148964
ENSG00000059691;NM_004564
ENSG00000205208;XM_001719774
ENSG00000166507;NM_003635
ENSG00000151914;NM_020388
ENSG00000182783;NM_001004694
ENSG00000175643;NM_152308
ENSG00000214881;XM_928242
ENSG00000176697;NM_001143806
ENSG00000136603;NM_001145097
ENSG00000215699;XM_001713958
ENSG00000117305;NM_001166059
ENSG00000171243;NM_015464
ENSG00000119760;NM_014860
ENSG00000185928;NM_024516
ENSG00000154124;NM_138348
ENSG00000121067;NM_001007228
ENSG00000123407;NM_173860
ENSG00000137601;NM_012224
ENSG00000002726;NM_001091
ENSG00000181826;NM_001085399
ENSG00000184305;NM_001145065
ENSG00000064961;NM_006339
ENSG00000137819;NM_001104554
ENSG00000103126;NM_181050
ENSG00000118412;NM_001137668
ENSG00000215253;NM_012196
ENSG00000137251;NM_014464
ENSG00000121716;NM_178238
ENSG00000106633;NM_033507
ENSG00000104941;NM_030785
ENSG00000170500;NM_198461
ENSG00000173988;XM_001716651
ENSG00000152292;NM_198482
ENSG00000165264;NM_182739
ENSG00000160191;NM_001001581
ENSG00000154114;NM_152715
ENSG00000170215;XM_001719272
ENSG00000214986;XM_002347127
ENSG00000152433;NM_173631
ENSG00000164050;NM_001130082
ENSG00000178966;NM_024945
ENSG00000145526;NM_001167667
ENSG00000081803;NM_017954
ENSG00000069667;NM_134260
ENSG00000102780;NM_152910
ENSG00000137764;NM_002757
ENSG00000145990;NM_018988
ENSG00000204642;NM_001098479
ENSG00000162006;NM_001025190
ENSG00000204161;NM_001010863
ENSG00000130717;NM_031432
ENSG00000091536;NM_016239
ENSG00000166913;NM_139323
ENSG00000188316;XM_001721847
ENSG00000164188;NM_145000
ENSG00000183765;NM_145862
ENSG00000198901;NM_003981
ENSG00000164733;NM_147780
ENSG00000137266;NM_021945
ENSG00000203907;NM_001080507
ENSG00000122481;NM_001128142
ENSG00000111906;NM_016063
ENSG00000215274;NM_012196
ENSG00000203883;NM_018419
ENSG00000139438;NM_032829
ENSG00000183826;NM_001099272
ENSG00000116044;NM_001145412
ENSG00000165370;NM_054021
ENSG00000085733;NM_138565
ENSG00000196652;NM_014569
ENSG00000197172;NM_005367
ENSG00000112486;NM_030937
ENSG00000176635;NM_152510
ENSG00000125355;NM_001104545
ENSG00000085721;NM_018427
ENSG00000129083;NM_016451
ENSG00000130479;NM_018174
ENSG00000169933;NM_014728
ENSG00000171944;NM_001005160
ENSG00000185985;NM_001144003
ENSG00000142409;NM_001002836
ENSG00000143469;NM_153262
ENSG00000182240;NM_138992
ENSG00000162636;NM_001010883
ENSG00000134115;NM_014461
ENSG00000176034;NM_173695
ENSG00000099795;NM_004146
ENSG00000087916;NM_007231
ENSG00000169379;NM_182896
ENSG00000114790;NM_015595
ENSG00000204767;NM_001129891
ENSG00000165584;NM_175711
ENSG00000105464;NM_000836
ENSG00000183038;NM_001032365
ENSG00000129810;NM_001012411
ENSG00000214587;NM_001143959
ENSG00000079308;NM_022648
ENSG00000117461;NM_003629
ENSG00000089094;NM_001005366
ENSG00000188771;NM_001145024
ENSG00000031081;NM_020754
ENSG00000079337;NM_006105
ENSG00000169629;NM_182588
ENSG00000173812;XM_001131332
ENSG00000137221;NM_001146018
ENSG00000181481;NM_032322
ENSG00000216649;NM_001098408
ENSG00000108839;NM_000697
ENSG00000172403;NM_001128934
ENSG00000182141;NM_021269
ENSG00000007372;NM_001604
ENSG00000151846;NM_030979
ENSG00000050555;NM_006059
ENSG00000212861;XM_001721549
ENSG00000135205;NM_020879
ENSG00000109184;NM_001040402
ENSG00000171142;NM_080653
ENSG00000205133;NM_001171796
ENSG00000088833;NM_018839
ENSG00000123124;NM_007013
ENSG00000152457;NM_022487
ENSG00000050820;NM_001170716
ENSG00000083168;NM_006766
ENSG00000125945;NM_001077195
ENSG00000166181;NM_006595
ENSG00000221883;NM_001123040
ENSG00000138760;NM_005506
ENSG00000126091;NM_174970
ENSG00000123992;NM_012100
ENSG00000134538;NM_006446
ENSG00000163625;NM_014991
ENSG00000150281;NM_001330
ENSG00000136732;NM_002101
ENSG00000214022;NM_014374
ENSG00000081154;NM_020357
ENSG00000201754;NM_001040438
ENSG00000126768;NM_001167947
ENSG00000175348;NM_020644
ENSG00000130283;NM_001492
ENSG00000215486;XM_929841
ENSG00000166351;NM_174981
ENSG00000123575;NM_207318
ENSG00000134030;NM_001142397
ENSG00000104738;NM_182746
ENSG00000065665;NM_001142627
ENSG00000127150;NM_032374
ENSG00000101236;NM_007219
ENSG00000137491;NM_001145212
ENSG00000121236;NM_001003827
ENSG00000156515;NM_033496
ENSG00000159363;NM_022089
ENSG00000212122;NM_032028
ENSG00000146054;NM_203293
ENSG00000204434;XM_001723912
ENSG00000104953;NM_001143986
ENSG00000164105;NM_003864
ENSG00000122643;NM_016489
ENSG00000174156;NM_000847
ENSG00000181789;NM_016128
ENSG00000111335;NM_001032731
ENSG00000104067;NM_175610
ENSG00000144712;NM_012298
ENSG00000177938;NM_033328
ENSG00000088280;NM_001143778
ENSG00000122585;NM_000905
ENSG00000102908;NM_138714
ENSG00000120697;NM_013338
ENSG00000187456;NM_001034836
ENSG00000016391;NM_018397
ENSG00000108309;NM_006695
ENSG00000138107;NM_005736
ENSG00000205544;NM_152766
ENSG00000167925;NM_032484
ENSG00000197183;NM_080616
ENSG00000204071;NM_001006938
ENSG00000172432;NM_019096
ENSG00000143125;NM_032414
ENSG00000182177;NM_212556
ENSG00000188820;NM_001010919
ENSG00000077312;NM_004596
ENSG00000188817;NM_001080537
ENSG00000196787;NM_003510
ENSG00000166348;NM_152586
ENSG00000115254;NM_007266
ENSG00000152578;NM_001112812
ENSG00000064489;NM_005919
ENSG00000180061;NM_001085488
ENSG00000153684;NM_001012452
ENSG00000159346;NM_015999
ENSG00000072501;NM_006306
ENSG00000145642;XM_001720158
ENSG00000162654;NM_052941
ENSG00000166884;NM_001004708
ENSG00000184995;NM_176891
ENSG00000130177;NM_001078645
ENSG00000188112;XM_001724313
ENSG00000130340;NM_016224
ENSG00000081059;NM_213648
ENSG00000137501;NM_001162951
ENSG00000128609;NM_005000
ENSG00000129965;NM_001007139
ENSG00000151292;NM_004384
ENSG00000134569;NM_002334
ENSG00000129451;NM_001077500
ENSG00000134575;NM_001131064
ENSG00000104738;NM_005914
ENSG00000067082;NM_001160124
ENSG00000140416;NM_001018004
ENSG00000135541;NM_001134830
ENSG00000115155;NM_194323
ENSG00000182330;NM_001012276
ENSG00000005339;NM_001079846
ENSG00000167676;NM_001080400
ENSG00000215374;XM_001720529
ENSG00000071991;NM_021153
ENSG00000183878;NM_182659
ENSG00000204070;NM_001048221
ENSG00000117560;NM_000639
ENSG00000152102;NM_001009993
ENSG00000214827;NM_001018025
ENSG00000111679;NM_080549
ENSG00000106025;NM_012338
ENSG00000114745;NM_031899
ENSG00000176395;NM_001102599
ENSG00000141101;NM_014062
ENSG00000197065;XM_001722896
ENSG00000170579;NM_001003809
ENSG00000049768;NM_014009
ENSG00000198720;NM_152345
ENSG00000212759;XM_001130410
ENSG00000212758;XM_001130410
ENSG00000212757;XM_001130410
ENSG00000125787;NM_178331
ENSG00000212755;XM_001130410
ENSG00000212754;XM_001130410
ENSG00000212753;XM_001130410
ENSG00000151917;NM_152731
ENSG00000074219;NM_003598
ENSG00000128050;NM_001079525
ENSG00000161981;NM_024571
ENSG00000134779;NM_015476
ENSG00000176402;NM_181538
ENSG00000145700;XM_937397
ENSG00000081692;NM_001161465
ENSG00000142937;NM_001012
ENSG00000151665;NM_173074
ENSG00000138777;NM_176869
ENSG00000066427;NM_001164780
ENSG00000115459;NM_001135023
ENSG00000214688;XM_001723289
ENSG00000180539;NM_207511
ENSG00000183828;NM_177533
ENSG00000006468;NM_001163152
ENSG00000092931;NM_024311
ENSG00000214310;NM_001012
ENSG00000174243;NM_004818
ENSG00000179111;NM_032580
ENSG00000205726;NM_001001132
ENSG00000164708;NM_000290
ENSG00000169855;NM_001145844
ENSG00000197006;NM_016025
ENSG00000205336;NM_001145773
ENSG00000157379;NM_001136050
ENSG00000204595;NM_001012728
ENSG00000206264;NM_001002029
ENSG00000107872;NM_024326
ENSG00000165006;NM_001171203
ENSG00000004846;NM_178559
ENSG00000134827;NM_001062
ENSG00000205336;NM_001145771
ENSG00000136478;NM_018469
ENSG00000095794;NM_182722
ENSG00000173744;NM_001135187
ENSG00000158856;NM_001114137
ENSG00000087087;NM_001128853
ENSG00000197467;NM_080804
ENSG00000177460;XM_001726130
ENSG00000144868;NM_023943
ENSG00000197721;NM_175710
ENSG00000185344;NM_012463
ENSG00000187569;NM_199286
ENSG00000162999;NM_001142314
ENSG00000077238;NM_001008699
ENSG00000106546;NM_001621
ENSG00000065308;NM_012288
ENSG00000198931;NM_001030018
ENSG00000110344;NM_004788
ENSG00000177830;NM_001142677
ENSG00000038002;NM_001171988
ENSG00000168066;NM_201995
ENSG00000196747;NM_003510
ENSG00000180871;NM_001557
ENSG00000106302;NM_012269
ENSG00000143420;NM_207044
ENSG00000215340;XM_001724872
ENSG00000174990;NM_001739
ENSG00000187239;NM_015033
ENSG00000168003;NM_001012662
ENSG00000215344;XM_001724872
ENSG00000121380;NM_138723
ENSG00000177354;XM_001718949
ENSG00000164532;NM_001166220
ENSG00000171428;NM_001160176
ENSG00000120868;NM_013229
ENSG00000166123;NM_001142466
ENSG00000136436;NM_005831
ENSG00000088305;NM_175848
ENSG00000204790;NM_001145355
ENSG00000164754;NM_006265
ENSG00000107104;NM_153186
ENSG00000107036;NM_020829
ENSG00000112511;NM_024165
ENSG00000197978;NM_001164465
ENSG00000178033;NM_153711
ENSG00000157168;NM_001160008
ENSG00000099331;NM_001130065
ENSG00000090686;NM_032236
ENSG00000074416;NM_001003794
ENSG00000116584;NM_001162384
ENSG00000115457;NM_000597
ENSG00000052344;NM_002773
ENSG00000149743;NM_001160393
ENSG00000213505;NM_001080142
