ANALYSENR	LABORNR	RAUMSCHLUESSEL	LAND	FUNDORT	FUNDPLATZ	ORTNR	LAENGENGRAD	BREITENGRAD	MUSEUM	ZEITSTUFE	KULTUR	C14DATIERUNG	OBJEKTTYP	OBJEKT	VCU	CU	VSN	SN	VPB	PB	VAS	AS	VSB	SB	VAG	AG	VNI	NI	VBI	BI	VAU	AU	VZN	ZN	VCO	CO	VFE	FE	GEWICHT	DOPPELANALYSE
39	00029	62	D	Bodensee F.O.?	Vermutlich Siedl.	621	9.167	47.650	Stuttgart, WLM A 31/127	4			610	Rollennadel m. tordiertem Schaft		0		4.8		0.05		0.12		0.36		0.14		0.4		0.02		0		0		0		0.5		
40	00345	62	D	Bodensee F.O.?	Vermutlich Siedl.	621	9.167	47.650	Stuttgart, WLM	4			615	Ösenkopfnadel m. durchbohrtem Kopf		0	9	15		0.06		0.44		0.24		0.07		0.69		0.02		0		0		0		0.2		
41	00469	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			111	Randleistenbeil, Typ Bühl		0		7.2		0.38		1.4		0.1		0.2		1.7	6	0.01		0		0	2	0		0.06		
42	00468	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			111	Randleistenbeil, Typ Bühl (Typ 3)		0		9.9		0.06		0.74		0.36		0.15		1.55	6	0.01		0		0	2	0		0.05		
43	00467	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			302	Tülle einer Lanzenspitze		0		6.6		0.08		2		0.05		0.32		1.92	6	0.01		0		0	2	0		0.09		
44	00466	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			710	Gußbrocken		0		4.8		0.07		1.4		0.3		0.25		1.25	6	0.01		0		0	2	0		0.08		
45	00465	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			317	Sichel mit 2 Rippen		0		6.9		0.05		0.52		0.45		0.14		0.83	6	0.01		0		0	2	0		0.09		
46	00211	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			522	Blechstreifen, punzverziert		0		9		0.07		1.05		0.4		0.01		1.4	1	0		0		0		0		0.08		
47	00212	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			518	Näpfchen		0		8.8	1	0		0.74		0.12		0.02		0.65		0		0		0		0	1	0		
48	00213	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			616	Kugelkopfnadel		0		5.6	1	0		0.74		0.12		0.01		0.85		0.001		0	1	0		0		0.3		
49	00215	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			220	Schwertspitze		0		0.1	1	0		2.5		3.5		0.16	9	2		0.01		0		0	2	0		0.02		
50	00216	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			212	Dolchklinge		0		5.6		0.01		1.05		0.18		0.08		2	1	0	0	0		0	2	0		0.01		
51	00217	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			302	Lanzenspitze in Bruchstücken		0		8		0.04		0.52		0.07		0.01		0.95	6	0.001		0		0		0		0.01		
52	00218	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			710	Gußbrocken		0	1	0		0.4		1.3		0.2		0.3	7	2.5		0.001		0	1	0	2	0		0.4		
53	00219	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			111	Randleistenbeil, fragm.		0		5.9		0		0.68		0.3		0.01		1.75	1	0		0		0		0		0.25		
54	00220	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			317	Sichelfragment		0		4.5	1	0		0.96		0.8		0.07		2	1	0		0		0		0		0.09		
55	00458	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			409	Bronzespirale, groß		0	9	12		0		0.8		0.67		0.03		0.42	1	0		0		0		0		0.11		
56	00459	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			518	Blechtutulus, groß		0		9.5		0.05		0.71		1.18		0.03		0.48	1	0		0		0		0		0.07		
57	00460	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			518	Blechtutulus, groß		0	9	15		0.09		0.8		0.58		0.06		1.1	6	0.01		0		0		0		0.1		
58	00461	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			518	Blechtutulus, klein		0		7.1		0		0.36		0.05	1	0		0.52	6	0.001		0		0		0		0.1		
59	00462	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			307	Pfeilspitze		0	9	15		0.29		1.4		0.56		0.06		1.8		0		0		0	2	0		0.12		
60	00463	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			518	Blechtutulus mit Loch		0	9	13		0		0.44		1.07	1	0		0.45		0		0		0		0		0.12		
61	00464	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			522	Punziertes Blechband		0		4.8		0.12		0.29		2.1		0.05		1.05	6	0.01		0		0		0		0.45		
62	00470	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			110	Randleistenbeil, Typ Bühl, mit leichter Rast		0		7.4		0.09		0.54		0.16		0.09		1.3	6	0.01		0		0		0		0.04		
63	00471	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			110	Randleistenbeil, Typ Bühl (Typ 3)		0		7.7		0		0.01		0.04		0		0.1	6	0.01		0		0	2	0		0.26		
64	00472	62	D	Bühl, Donau-Ries Kreis	Depot	802	10.650	48.833	Nördlingen	5			111	Randleistenbeil, fragm.		0		5.6		0.03		0.87		0.1		0.08		1.41	6	0.01		0		0	2	0		0.05		
65	00105	66	D	Burgweinting, Kr. Regensburg	F.O.? Verm. nicht aus Burgweinting	825	12.167	49.000	Regensburg 376a	5			212	Dolch		0		8.1		0.05		0.83		1.1		0.5		0.1		0.03		0		0		0		0.06		*  20
66	00008	62	D	Stuttgart-Bad Cannstatt	Einzf.	5100	9.200	48.817	Stuttgart, WLM A 234	3			702	Ösenringbarren		0		0		0		2.4		1.4		0.5		0.001		0.1	0	0		0		0		0.01		
67	00017	62	D	Stuttgart-Bad Cannstatt	Grab 5	5100	9.200	48.817	Stuttgart, WLM	3			604	Rudernadel, verz.		0	1	0	1	0		0.66		0.82		0.43		1.55		0		0		0		0		0.05		*  22
68	00052	62	D	Stuttgart-Bad Cannstatt	Grab 5	5100	9.200	48.817	Stuttgart, WLM	3			503	Blechröhrchen		0		0.05	1	0		0.67		1		0.5		1.3		0		0		0		0		0.05		*  24
69	00025	62	D	Stuttgart-Bad Cannstatt	Grab 1	5100	9.200	48.817	Stuttgart, WLM	3			409	Armspirale		0		0		0		0.25		1.1		0.46		1.8		0		0		0	2	0		0.03		
70	00026	62	D	Stuttgart-Bad Cannstatt	Grab 4	5100	9.200	48.817	Stuttgart, WLM	3			409	Armspirale		0		0.07		0		0.18		0.88		0.33		1.3		0		0		0		0		0.04		
71	00027	62	D	Stuttgart-Bad Cannstatt	Grab 4	5100	9.200	48.817	Stuttgart, WLM	3			603	Scheibennadel, kl., ruderf., einger. Kopfplatte		0		0.05		0.07		0.45		1.1		0.39		2.8		0		0		0	3	0		0.05		
72	00406	62	D	Dillingen a. d. Donau, Kr. Dillingen	Grab	1323	10.500	48.550	Dillingen	25	GBK		215	Griffzungendolch		0		0		0.11		0.08		0.45		0.08		0.001		0.01		0		0		0		0.2		
73	00067	62	D	Döttingen, Kr. Schwäbisch-Hall	Unsicher, vielleicht Grab	1386	9.700	49.217	Stuttgart, WLM 12736	3			206	Vollgriffdolch: Blatt		0		9.1		0.01		0.27		0.56		0.42	6	0.01		0.02		0		0		0	6	0.01		+1386
74	00068	62	D	Döttingen, Kr. Schwäbisch-Hall	Unsicher, vielleicht Grab	1386	9.700	49.217	Stuttgart, WLM 12736	3			204	Vollgriffdolch: Griff		0		0.01		0.01		1.4		2		0.43	1	0.001		0.15		0		0		0	6	0.01		+1386
75	00069	62	D	Döttingen, Kr. Schwäbisch-Hall	Unsicher, vielleicht Grab	1386	9.700	49.217	Stuttgart, WLM 12736	3			205	Vollgriffdolch: Niet		0		9.8	1	0		0.12		0.49		0.38	1	0.001		0.01		0		0		0	6	0.01		+1386
76	00441	67	CH	Dürnten, Kt.Zürich	Einzf.	1455	8.833	47.267	Zürich, SLM	25			104	Großes Beil		0		0.8		1.3	6	0.005		0		0.03		0.09	9	0.001		0	1	0		0		0		
77	00383	62	D	Efringen-Kirchen	Gräber in Höhle, mind. 4 SK	1485	7.550	47.650	Karlsruhe C 8592	4			212	Dolch mit 4 Nieten und Seitenrillen		0		8.2		0		0.16		0.23		0.38		0.12		0.001		0		0	1	0		0		
78	00071	62	D	Münsingen, Kr. Reutlingen	Einzf.	3517	9.500	48.417	Stuttgart, WLM A 32/164	3			212	Dolch mit 3 Nieten		0		0.05		0		0.31		1.1		0.35		0.85		0.004		0		0	2	0		0.01		
79	00081	62	D	Ittenhausen, Gem. Ensmad, Kr. Riedlingen	Grab	1553	9.350	48.183	Stuttgart, WLM A 34/150	5			627	Nadel m. durchb. Hals u. gefl. gep. Schaft		0		3.2		0.02		0.24		0.4		0.06		0.74		0		0		0	1	0		0.2		
80	00082	62	D	Ittenhausen, Gem. Ensmad, Kr. Riedlingen	Grab	1553	9.350	48.183	Stuttgart, WLM A 34/150	5			627	Nadel m. durchb. Hals u. gefl. gep. Schaft		0		3.1		0.04		0.34		0.33		0.05		0.74		0	2	0		0	1	0		0.1		
81	00408	62	D	Eriskirch, Bodenseekreis	Einzelf.	1564	9.533	47.633	Stuttgart, WLM 12584	3			110	Randleistenbeil, Typ ?, Salez-Langquaid		0	1	0		0.06		0.75		1.6		0.34		2.4		0		0		0	1	0	1	0		*# 28
82	00409	62	D	Eriskirch, Bodenseekreis	Einzelf.	1564	9.533	47.633	Stuttgart, WLM 12584	3			112	Randleistenbeil (3 An.) Typ unklar		0	1	0		0.05		0.95		1.4		0.45		2.7		0	2	0		0	2	0	6	0.01		#  28
83	00410	62	D	Eriskirch, Bodenseekreis	Einzelf.	1564	9.533	47.633	Stuttgart, WLM 12584	3			112	Randleistenbeil (3 An.), Typ unklar		0	1	0		0.04		0.76		1.3		0.44		2.6		0	2	0		0	2	0	1	0		#  28
84	00346	66	D	Friedberg	Depot	1755	10.983	48.333	Augsburg 570, 1-22	4			110	Randleistenbeil, Schneidenfrag., Typ Langquaid		0		9		0		0.24		0.54		0.001		0.42		0		0		0		0	6	0.01		
85	00347	66	D	Friedberg	-	1755	10.983	48.333		4			710	Gußbrocken		0		0.01		0.02		1.4		0.25		0.01		0.35		0.03		0		0	1	0		0.5		
86	00348	66	D	Friedberg	Depot	1755	10.983	48.333	Augsburg 570, 11	4			317	Sichel		0		3.8		0.03		1.15		0.04		0.13		1.1		0.004		0		0		0	6	0.01		
87	00146	66	D	Galgweis-Gergweis Kr.Vilshofen	Einzf.	1793	12.933	48.617	München, Stslg. 1958, 715	3			604	Scheibennadel, verz.		0	9	0.02	1	0		0.75		1.5		0.51		1.9		0.005		0		0	2	0		0		
88	00147	66	D	Galgweis-Gergweis Kr.Vilshofen	Einzf.	1793	12.933	48.617	München, Stslg. 1958, 716	3			604	Scheibennadel, verz.		0	6	0.01		0.01		0.8		1.6		0.32		1.05		0.004		0		0	2	0		0.08		
89	00252	66	D	Gammersham, Kr. Wasserburg	Depot	1802	12.267	48.050	München, Stslg. 1909:9	3			702	Ösenringbarren		0		0	1	0	9	3.5	9	2		0.65	9	0.01	7	0.1	0	0		0		0		0.01		*  30
90	00253	66	D	Gammersham, Kr. Wasserburg	Depot	1802	12.267	48.050	München, Stslg. 1909:82	3			702	Ösenringbarren		0		0		0	9	3	9	2		0.6	6	0.01	7	0.1	0	0		0		0	1	0		
91	00254	66	D	Gammersham, Kr. Wasserburg	Depot	1802	12.267	48.050	München, Stslg. 1909:11	3			702	Ösenringbarren		0		0		0	9	3.5	9	2		0.7	6	0.01	7	0.1	0	0		0		0	6	0.01		
92	00255	66	D	Gammersham, Kr. Wasserburg	Depot	1802	12.267	48.050	München, Stslg. 1909:8	3			702	Ösenringbarren		0		0		0	9	3.5	9	2		0.7	6	0.01	7	0.1	0	0		0		0	1	0		
93	00256	66	D	Gammersham, Kr. Wasserburg	Depot	1802	12.267	48.050	München, Stslg. 1909:23	3			702	Ösenringbarren		0	1	0		0.02	6	0.01		0.3	6	0.04		0.1		0.03	0	0		0		0		0.12		*  32
94	00145	66	D	Grünwald-Geiselgasteig, Kr. München	Grab 1	1833	11.550	48.050	München, Stslg. 1912:601	3			604	Scheibennadel, verziert		0	6	0.01	1	0		1.25		1.5		0.51	9	4		0.003		0		0	2	0		0		
95	00349	66	D	Gessenhausen, Gem. Taching, Kr. Traunstein	Grab od. Dep.	1867	12.750	47.983	München, Stslg. H.V. 227	3			519	Spiraltutulus		0		0		0		1.55		1.85		0.5		0.05		0.3		0		0		0		0		
96	00358	62	D	Göggingen, Kr. Augsburg	DoppelGrab, Grab 1	1929	10.883	48.333	Augsburg, Maxim.Mus.	3			513	Zierscheibe, groß		0		0	1	0		0.34		0.49		0.82		0.05		0	0	0		0		0		0.04		
97	00360	62	D	Göggingen, Kr. Augsburg	Grab 2	1929	10.883	48.333	Augsburg	3			519	Spiraltutulus		0		0		0.06		1.45		1.9		0.9		0.001		0.07	0	0		0		0		0.03		
98	00359	62	D	Göggingen, Kr. Augsburg	DoppelGrab, Grab 1	1929	10.883	48.333	Augsburg	3			518	Blechtutulus		0	1	0	1	0		0.83		0.25	9	1		0.05		0	0	0		0		0		0.03		
99	00361	62	D	Göggingen, Kr. Augsburg	Grab 2	1929	10.883	48.333	Augsburg	3			416	Armspirale, 5,2 Windungen erh.		0	1	0	1	0		1.15		1.65		0.8		0.74	1	0		0		0	2	0		0		
100	00362	62	D	Göggingen, Kr. Augsburg	Grab 2	1929	10.883	48.333	Augsburg	3			605	Schleifennadel, Horkheimer Nadel		0	1	0		0.07		0.4		1.12		0.75		0.38		0.02		0		0		0		0.03		
101	00363	62	D	Göggingen, Kr. Augsburg	DoppelGrab, Grab 1	1929	10.883	48.333	Augsburg	3			607	Schleifennadel, zypr.		0		0.05		0.06		0.88		0.87		0.6		0.73	1	0		0		0		0		0		
102	00373	62	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	1931	10.367	48.767	Stuttgart, WLM 223-1563	22			134	Meißel		0		0		0		0		0.03		0.07		0.07		0.007		0		0		0		0		*  34
103	00375	62	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Siedl.	1931	10.367	48.767	Stuttgart, WLM 227-494	4			134	Meißel		0		2.1		0.12		0.05		0.12		0.02		0.12		0		0		0		0		0.08		
104	00372	62	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	1931	10.367	48.767	Stuttgart, WLM 545a	22			104	Flachbeil		0		0		0		0		0.03		0.06		0.05		0.011		0		0		0		0		*  36
105	00371	62	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	1931	10.367	48.767	Stuttgart, WLM 214-28017	22			104	Flachbeil		0		0		0.06		2.8	1	0		0.02		0.05	6	0.001		0		0		0		0		*  38
106	00374	62	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	1931	10.367	48.767	Stuttgart, WLM 221-28013	25			134	Meißel		0	1	0		0		0.34	1	0		0.01		0.001		0	0	0		0		0		0		*  40
107	00232	62	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	1931	10.367	48.767	Stuttgart, WLM	4			111	Randleistenbeil, geschwung. Schneide, Langquaid II		0		3.9		0		0.77		1		0.2		0.62	1	0		0		0		0	1	0		
108	00078	62	D	Goldburghausen, Gem. Riesbürg, Ostalbkreis	Goldberg, Siedl.	1931	10.367	48.767	Stuttgart, WLM A 1694	4			613	Ringkopfnadel		0	7	15		0.02	9	0.008	1	0	1	0		0.04	6	0.001		0	1	0	2	0		0.15		
109	00379	62	D	Neudorf, Gem. Graben, Kr. Karlsruhe	Einzf.	1980	8.483	49.167	Karlsruhe C 2069	5			616	Kugelkopfnadel, durchbohrt, verziert, junge Form		0		5.1	1	0		0.48		0.12		0.03		1.1		0	0	0		0	1	0		0.07		*  42
110	00481	62	D	Gr. Gerau	Einzf.	1969	8.483	49.917	Groß-Gerau	25			104	Flachbeil		0		0		0.07		0		0.09	9	1		0.06	6	0.01		0		0		0		0.03		
111	00422	62	D	Güglingen, Kr. Heilbronn	Einzelf.	2038	9.000	49.067	Stuttgart, WLM A 3127	3			110	Randleistenbeil, Typ Salez (3 An.)		0		0		0		1.67		1.65		0.44		0.001		0.1		0		0		0	1	0		#  45
112	00423	62	D	Güglingen, Kr. Heilbronn	Einzelf.	2038	9.000	49.067	Stuttgart, WLM A 3127	3			110	Randleistenbeil, Typ Salez (3 An.)		0		0		0		1.45		1.35		0.44		0.001		0.1		0		0		0		0		#  45
113	00424	62	D	Güglingen, Kr. Heilbronn	Einzelf.	2038	9.000	49.067	Stuttgart, WLM A 3127	3			110	Randleistenbeil, Typ Salez (3 An.)		0		0		0		1.52		1.35		0.52		0.001		0.1	0	0		0		0		0		#  45
114	00337	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen 847	4			608	Lyranadel mit 3-teiliger Kopfplatte		0		7		0		0.16		0.15		0.04		0.001		0.001		0		0		0		0		
115	00338	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen 848	4			608	Lyranadel mit 3-teiliger Kopfplatte		0		8.4		0		0.17		0.16		0.04		0.001	6	0.001		0		0		0		0		
116	00341	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen 852	4			518	Blechtutulus		0		0		0		0.43		0.54		0.35		0.001		0.1		0		0		0		0		
117	00342	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen	4			409	Spirale, Frgm.		0		9.6		0		0.22		0.06		0.1		0.1		0.007		0		0		0	6	0.01		
118	00343	66	D	Haberskirch, Kr.Friedberg	Dep., Gewässerfund	2063	11.000	48.367	Sigmaringen	4			612	Dreiarmnadel (Kleeblattnadel?)		0		8.7		0.44		0.22		0.15		0.3		0.09		0.014		0		0		0		0		
