Institutional Characteristics								
Control	Institution	State	Highest Degree Offered	Has a Medical School	Federal Land Grant Institution	Federal Research Focus	Total Student Enrollment Fall 2007	Control
Public	Texas A&M University	TX	Doctoral and Professional	No	Yes	Heavy Life Science and 	 48039 	Public
Private	Thomas Jefferson University	PA	Doctoral and Professional	Yes	No	Heavy Physical Science	 3202 	Private
Private	Tufts University	MA	Doctoral and Professional	Yes	No	Moderate Psychology	 10030 	Private
Private	Tulane University	LA	Doctoral and Professional	Yes	No	All Environmental Science	 10737 	Private
Public	Uniformed Services University of the Health Sciences	MD	Doctoral and Professional	Yes	No	Heavy Life Science		Public
Public	University at Albany	NY	Doctoral	No	No	Strong Engineering	 18204 	Public
Public	University at Buffalo	NY	Doctoral and Professional	Yes	No	Heavy Engineering	 28192 	Public
Public	University of Alabama - Birmingham	AL	Doctoral and Professional	Yes	No	Heavy Life Science	 16149 	Public
Public	University of Alabama - Huntsville	AL	Doctoral	No	No	Strong Life Science	 7431 	Public
Public	University of Alaska - Fairbanks	AK	Doctoral	No	Yes-System	Heavy Life Science and 	 8575 	Public
Public	University of Arizona	AZ	Doctoral and Professional	Yes	Yes	Strong Life Science and 	 38057 	Public
Public	University of Arkansas for Medical Sciences	AR	Doctoral and Professional	Yes	No	Heavy Life Science	 2652 	Public
Public	University of California - Berkeley	CA	Doctoral and Professional	No	Yes-System	Strong Life Science	 35396 	Public
Public	University of California - Davis	CA	Doctoral and Professional	Yes	Yes-System	Strong Life Science	 30568 	Public
Public	University of California - Irvine	CA	Doctoral and Professional	Yes	No-System	Strong Life Science	 26984 	Public
Public	University of California - Los Angeles	CA	Doctoral and Professional	Yes	No-System	Strong Math	 38220 	Public
Public	University of California - Riverside	CA	Doctoral and Professional	No	Yes-System	Moderate Life Science and Moderate Engineering	 18079 	Public
Public	University of California - San Diego	CA	Doctoral and Professional	Yes	No-System	All Life Science	 27520 	Public
Public	University of California - San Francisco	CA	Doctoral and Professional	Yes	No-System	Strong Life Science	 2998 	Public
Public	University of California - Santa Barbara	CA	Doctoral	No	No-System	Strong Life Science	 21868 	Public
Public	University of California - Santa Cruz	CA	Doctoral	No	No-System	Strong Life Science	 16615 	Public
Public	University of Central Florida	FL	Doctoral	No	No	Moderate Environmental Science and 	 50121 	Public
Private	University of Chicago	IL	Doctoral and Professional	Yes	No	Heavy Life Science	 14788 	Private
Public	University of Cincinnati - Cincinnati	OH	Doctoral and Professional	Yes	No	Moderate Physical Science	 29617 	Public
Public	University of Colorado - Boulder	CO	Doctoral and Professional	No	No	Moderate Life Science	 32469 	Public
Public	University of Colorado Health Sciences Center	CO	Doctoral and Professional	Yes	No	Moderate Life Science	 21903 	Public
Public	University of Connecticut - Health Center	CT	Doctoral and Professional	Yes	No	Heavy Life Science		Public
Public	University of Connecticut - Storrs	CT	Doctoral and Professional	No	Yes	Moderate Life Science	 24273 	Public
Private	University of Dayton	OH	Doctoral and Professional	No	No	Strong Life Science	 10920 	Private
Public	University of Delaware	DE	Doctoral	No	Yes	Heavy Life Science	 20500 	Public
Public	University of Florida	FL	Doctoral and Professional	Yes	Yes	Moderate Engineering	 51474 	Public
Public	University of Georgia	GA	Doctoral and Professional	No	Yes	Moderate Social Science	 34180 	Public
Public	University of Hawaii - Manoa	HI	Doctoral and Professional	Yes	Yes	All Life Science and 	 20169 	Public
Public	University of Houston - University Park	TX	Doctoral and Professional	No	No	All Life Science	 36104 	Public
Public	University of Idaho	ID	Doctoral and Professional	No	Yes	Moderate Life Science	 11791 	Public
Public	University of Illinois - Chicago	IL	Doctoral and Professional	Yes	No	Moderate Life Science	 25835 	Public
Public	University of Illinois - Urbana-Champaign	IL	Doctoral and Professional	No	Yes	Heavy Environmental Science	 43246 	Public
Public	University of Iowa	IA	Doctoral and Professional	Yes	No	Strong Engineering	 29152 	Public
Public	University of Kansas - Lawrence	KS	Doctoral and Professional	No	No	All Life Science	 29365 	Public
Public	University of Kansas Medical Center	KS	Doctoral and Professional	Yes	No	All Life Science		Public
Public	University of Kentucky	KY	Doctoral and Professional	Yes	Yes	Strong Engineering	 26054 	Public
Public	University of Louisville	KY	Doctoral and Professional	Yes	No	Moderate Engineering	 20834 	Public
Public	University of Maine - Orono	ME	Doctoral	No	Yes	Moderate Physical Science	 11818 	Public
Public	University of Maryland - Baltimore	MD	Doctoral and Professional	Yes	No	Heavy Engineering	 6156 	Public
Public	University of Maryland - Baltimore County	MD	Doctoral	No	No	Moderate Physical Science	 12268 	Public
Public	University of Maryland - College Park	MD	Doctoral and Professional	No	Yes	Mixed	 37000 	Public
Public	University of Massachusetts - Amherst	MA	Doctoral	No	Yes	Moderate Physical Science and Moderate Life Science	 26359 	Public
Public	University of Massachusetts Medical Sch - Worcester	MA	Doctoral and Professional	Yes	No	Strong Life Science	 1025 	Public
Public	University of Medicine & Dentistry of New Jersey	NJ	Doctoral and Professional	Yes	No	Moderate Physical Science	 5906 	Public
Private	University of Miami	FL	Doctoral and Professional	Yes	No	Strong Engineering	 15323 	Private
Public	University of Michigan - Ann Arbor	MI	Doctoral and Professional	Yes	No	Moderate Physical Science	 41028 	Public
Public	University of Minnesota - Twin Cities	MN	Doctoral and Professional	Yes	Yes	Moderate Other Science	 51140 	Public
Public	University of Missouri - Columbia	MO	Doctoral and Professional	Yes	Yes-System	Heavy Life Science	 30130 	Public
Public	University of Nebraska - Lincoln	NE	Doctoral and Professional	No	Yes-System	Moderate Engineering	 23573 	Public
Public	University of Nebraska Medical Center	NE	Doctoral and Professional	Yes	No-System	All Life Science	 3194 	Public
Public	University of Nevada - Las Vegas	NV	Doctoral and Professional	No	No	Strong Life Science and Moderate Social Science	 28600 	Public
Public	University of Nevada - Reno	NV	Doctoral and Professional	Yes	Yes	Moderate Math	 16867 	Public
Public	University of New Hampshire - Durham	NH	Doctoral	No	Yes	Heavy Life Science	 14898 	Public
Public	University of New Mexico - Albuquerque	NM	Doctoral and Professional	Yes	No	Heavy Life Science	 25754 	Public
Public	University of North Carolina - Chapel Hill	NC	Doctoral and Professional	Yes	No	Moderate Social Science	 28567 	Public
Public	University of North Dakota	ND	Doctoral and Professional	Yes	No	Heavy Life Science and 	 12748 	Public
Private	University of Notre Dame	IN	Doctoral and Professional	No	No	Strong Life Science	 11731 	Private
Public	University of Oklahoma - Norman	OK	Doctoral and Professional	No	No	Strong Life Science	 26140 	Public
Public	University of Oklahoma Health Sciences Center	OK	Doctoral and Professional	Yes	No	Strong Life Science	 3926 	Public
Public	University of Oregon	OR	Doctoral and Professional	No	No	Heavy Environmental Science	 21452 	Public
Private	University of Pennsylvania	PA	Doctoral and Professional	Yes	No	Strong Life Science	 24107 	Private
Public	University of Pittsburgh - Pittsburgh	PA	Doctoral and Professional	Yes	No	Moderate Environmental Science	 27562 	Public
Public	University of Rhode Island	RI	Doctoral and Professional	No	Yes	Moderate Physical Science and 	 15904 	Public
Private	University of Rochester	NY	Doctoral and Professional	Yes	No	Moderate Life Science and Moderate Environmental Science	 9735 	Private
Public	University of South Carolina - Columbia	SC	Doctoral and Professional	Yes	No	Moderate Life Science	 27488 	Public
Public	University of South Florida	FL	Doctoral and Professional	Yes	No	Moderate Life Science	 46189 	Public
Private	University of Southern California	CA	Doctoral and Professional	Yes	No	All Life Science	 33747 	Private
Public	University of Southern Mississippi	MS	Doctoral	No	No	Strong Computer Science and 	 14793 	Public
Public	University of Tennessee - Knoxville	TN	Doctoral and Professional	No	Yes	Heavy Life Science	 30410 	Public
Public	University of Texas - Austin	TX	Doctoral and Professional	No	No	Strong Social Science	 49984 	Public
Public	University of Texas Health Science Center - Houston	TX	Doctoral and Professional	Yes	No	Strong Physical Science	 3865 	Public
Public	University of Texas Health Science Ctr - San Antonio	TX	Doctoral and Professional	Yes	No	Strong Other Science	 3093 	Public
Public	University of Texas MD Anderson Cancer Center	TX	Bachelors	No	No	Heavy Computer Science	 203 	Public
Public	University of Texas Medical Branch - Galveston	TX	Doctoral and Professional	Yes	No	All Life Science	 2338 	Public
Public	University of Texas SW Medical Center - Dallas	TX	Doctoral and Professional	Yes	No	Heavy Life Science	 2461 	Public
Public	University of Utah	UT	Doctoral and Professional	Yes	No	Heavy Life Science	 28211 	Public
Public	University of Vermont	VT	Doctoral and Professional	Yes	Yes	Moderate Life Science	 12800 	Public
Public	University of Virginia	VA	Doctoral and Professional	Yes	No	Strong Physical Science	 24541 	Public
Public	University of Washington - Seattle	WA	Doctoral and Professional	Yes	No	Strong Physical Science	 39675 	Public
Public	University of Wisconsin - Madison	WI	Doctoral and Professional	Yes	Yes	All Life Science	 41620 	Public
Public	US Air Force Academy	CO	Bachelors	No	No	Heavy Life Science	 4537 	Public
Public	US Naval Postgraduate School	CA	Doctoral	No	No	All Life Science	 2309 	Public
Public	Utah State University	UT	Doctoral	No	Yes	All Engineering and 	 15099 	Public
Private	Vanderbilt University	TN	Doctoral and Professional	Yes	No	Strong Physical Science	 12093 	Private
Public	Virginia Commonwealth University	VA	Doctoral and Professional	Yes	No	Moderate Social Science	 32044 	Public
Public	Virginia Polytechnic Institute and State University	VA	Doctoral and Professional	No	Yes	Strong Life Science and 	 30739 	Public
Private	Wake Forest University	NC	Doctoral and Professional	Yes	No	Strong Social Science	 6862 	Private
Public	Washington State University - Pullman	WA	Doctoral and Professional	No	Yes	All Life Science	 25352 	Public
Private	Washington University in St. Louis	MO	Doctoral and Professional	Yes	No	Moderate Math	 13339 	Private
Public	Wayne State University	MI	Doctoral and Professional	Yes	No	Moderate Physical Science	 31024 	Public
Public	West Virginia University	WV	Doctoral and Professional	Yes	Yes	All Psychology	 28840 	Public
Private	Woods Hole Oceanographic Institution	MA	Doctoral	No	No	All Other Science		Private
Private	Yale University	CT	Doctoral and Professional	Yes	No	Strong Life Science	 10192 	Private
Private	Yeshiva University	NY	Doctoral and Professional	Yes	No	Moderate Environmental Science	 6292 	Private
