Type a HCC  normalized	Type b NNL  normalized	Type c Cirr  normalized
1.85	1.31	2.28
1.6	0.92	1.44
1.74	1.01	1.13
1.42	1.09	1.46
2.63	1.37	2.31
2.15	1.07	2.1
2.43	1.05	1.7
1.75	0.94	1.05
0.08	0.83	0.31
0.89	1.03	0.8
0.33	0.82	0.73
1.41	1.03	1.28
1.77	1.01	1.29
2.55	1.15	1.8
1.76	0.88	1.92
1.58	1	1.55
2.1	0.99	3.02
1.49	1.01	1.01
1.64	0.96	1.46
1.97	1.06	1.47
1.34	0.84	1.05
3.18	1.01	2.3
1.82	0.99	1.25
1.87	0.89	2.49
1.36	0.91	1.36
1.43	0.96	1.68
1.92	1.01	1.29
1.75	0.96	1.73
2.09	0.93	2.34
0.86	1	0.78
1.54	1.1	1.67
2.18	1.04	1.55
2.16	0.96	2.8
1.19	0.85	2.29
1.9	1.02	1.32
2.47	0.93	2.55
1.58	1.07	1.95
1.96	1.04	1.26
2.09	0.99	2.1
1.82	1.01	1.4
1.17	1.1	3.02
1.32	0.83	3.66
2.97	0.98	2.18
2.12	1.01	1.91
1.93	1.08	1.36
0.83	1.06	1.51
1.52	1.02	1.43
2.61	1.08	1.79
0.49	0.64	0.2
1.24	1.05	1.23
0.71	1.06	1.14
1.17	1.05	1.07
1.36	0.98	2.04
1.47	0.79	1.71
0.71	1.11	1.03
1.65	0.87	0.99
1.62	1.02	1.18
1.38	1.02	1.22
1.59	0.99	1.35
1.79	0.99	1.32
1.92	0.91	1.25
1.31	1.05	1.06
1.8	0.96	1.86
2.28	0.98	1.53
1.21	1.03	2.02
1.76	1	1.45
1.16	1.04	1.72
1.35	0.89	1.37
1.22	0.99	1.19
2.95	1.48	3.93
1.85	0.88	1.5
1.87	1.06	1.52
3.16	0.95	2.02
1.29	0.96	1.4
2.59	1.18	2.08
1.69	1.04	1.7
1.69	1.05	2.16
1.79	1.02	1.3
1.55	0.69	1.45
1.08	0.91	1.37
2.36	1.03	2.01
1.47	0.97	1.4
1.3	0.94	1.09
1.16	0.86	1.89
1.7	0.96	1.25
1.84	0.9	1.61
1.85	1.08	1.69
1.55	0.83	1.21
3.68	1.06	1.63
1.06	1.09	1.42
0.87	0.97	1.33
1.78	0.98	1.12
2.05	1.04	1.56
0.91	0.97	0.84
1.59	0.85	1.02
1.44	0.83	1.13
1.49	1.01	1.89
3.72	0.99	2.51
1.81	0.83	1.65
2.6	1.01	2.04
1.68	0.98	1.34
2.01	0.96	1.72
4.61	1.1	2.99
3.33	1.24	2.08
1.45	0.87	1.55
1.19	0.78	1.65
0.83	1.16	1.91
2.17	0.99	1.37
1.87	0.96	1.54
1.31	1.02	1.26
1.87	1.01	1.51
1.81	1.11	1.37
1.99	0.94	2.81
1.68	0.93	1.35
2.75	1.05	1.89
1.46	0.99	1.53
1.78	0.86	2.85
1.95	1.07	1.58
1.78	1.03	1.22
2.6	0.88	1.34
1.42	1.03	1.72
2.4	1.11	2.08
0.93	1.16	1.37
1.64	1.04	2.68
2.15	1.06	1.58
1.27	0.99	1.71
1.39	0.99	1.3
1.49	1.05	1.35
1.71	0.95	0.97
1.94	1.02	1.9
1.27	1.12	1.92
1.39	1.04	1.19
2	1.04	1.25
0.68	1.01	1.22
1.95	0.96	2
0.79	1.03	1.35
1.86	0.95	1.32
3.01	1.07	1.6
1.35	1	1.19
1.68	1.21	4.47
1.28	1.03	1.88
2.37	1.02	1.71
1.21	0.79	1
2.45	1.04	1.81
1.43	1.01	1.65
2.44	1.12	1.89
1.56	1.01	1.23
0.87	0.87	0.83
0.73	0.84	0.71
1.5	1.03	1.44
0.96	0.98	0.88
1.73	1.03	1.34
1.68	1.05	1.7
1.84	1.06	1.98
1.52	0.87	1.55
1.83	1.14	1.64
1.84	1	1.25
1.49	1.06	1.41
1.69	0.97	1.84
4.01	1.07	4.14
2.15	1	1.72
1.84	0.96	1.68
0.87	0.98	1.41
1.24	1.05	1.44
1.59	0.91	1.33
1.26	0.99	1.78
1.34	0.92	1.34
1.56	0.96	1.72
3.16	1.08	3.04
0.69	0.99	1.05
1.5	0.9	1.65
0.49	0.99	0.72
1.89	1.18	1.92
1.62	1.12	1.59
1.3	1.04	1.36
0.65	0.82	1.63
1.39	1.07	1.74
1.44	0.94	1.21
0.98	0.98	0.9
1.07	0.97	0.99
2.71	1.18	1.98
1.1	1.06	1.33
1.77	0.91	1.57
0.08	0.73	0.27
3.46	1.08	1.5
1.51	1.02	1.54
2.48	1.03	1.81
2.65	1.14	2.44
1.59	0.85	1.32
1.5	0.98	1.1
1.79	0.97	2.15
1.39	0.97	1.37
1.06	0.97	1.25
1.5	1	1.93
1.64	1.02	1.79
0.56	0.9	1.05
1.38	0.93	1.21
1.47	0.93	1.12
1.6	1	1.48
1.76	0.97	1.35
1.39	1.01	1.26
1.33	1.04	1.51
1.64	0.85	1.55
2.24	1.01	1.57
1.18	1.03	1.17
1.34	0.92	1.37
0.71	0.85	0.43
0.95	0.95	0.91
0.93	0.99	0.98
1.45	0.96	1.02
2.53	1.02	2.91
2.19	1.18	1.21
1.34	0.85	1.13
1.93	1.06	1.5
1.81	0.98	1.18
1.02	0.98	1.02
2.26	1	1.44
1.21	0.93	0.71
2.1	1	2.26
1.61	0.88	1.33
1.34	0.98	1.07
1.3	0.96	1.19
2.04	0.99	1.57
2.8	1.11	2.54
1.77	1.04	1.43
1.29	0.98	1.06
1.45	0.8	1.2
2.82	1.08	2.4
1.66	1.05	1.67
1.87	0.93	1.57
1.39	0.83	1.13
1.65	1.04	1.03
1.75	0.99	1.14
1.36	0.74	1.05
2.28	1	1.59
1.26	1.01	1.25
0.08	0.8	0.3
1.02	0.97	1.69
2.37	1.11	2.38
1.75	0.94	1.11
1.76	0.97	1.44
1.03	0.99	1.16
2.23	1.04	2.04
1.45	1.02	1.2
1.64	1.01	1.33
1.62	0.95	1.32
2.28	1.02	1.87
1.63	0.93	1.03
1.04	0.87	0.78
1.4	0.82	1
1.43	1.07	1.28
2.18	1.01	1.92
1.21	0.95	1.11
0.53	0.97	1.02
0.61	0.99	0.61
1.58	1.13	1.37
2.57	0.86	1.95
1.94	1.02	1.31
2.01	1.1	1.82
2.18	1.02	1.29
1.07	1.2	1.21
1.2	0.95	1.75
1.72	0.97	1.43
1.33	0.88	1.36
1.23	0.9	0.96
1.73	1.1	1.31
1.39	1.01	1.22
2.15	1.04	1.78
0.88	0.94	1.17
1.8	0.99	2.02
2.65	1.24	2.57
0.83	1	0.87
1.13	0.98	1.09
2.09	0.94	1
2.35	1.01	1.88
2.66	0.98	1.76
1.06	0.99	1.39
3.28	1.22	2.95
1.43	0.83	1.17
1.77	0.99	1.74
2.12	0.98	2.69
1.87	1.04	1.51
1.16	1.04	1.25
2.04	0.91	1.4
0.88	0.86	1.21
1.66	1.05	1.27
7.46	0.83	6.16
1.18	0.91	1.66
1.31	1.03	1.33
1.06	1.03	1.24
1.31	1.02	2.11
1.82	0.97	28.47
1.24	1.07	1.49
0.79	1.03	1.92
2.06	0.92	3.74
1.87	1.12	2.46
2.55	1.14	1.25
2.28	1.03	1.42
0.79	0.91	1.13
1.57	1.18	3.24
1.29	1.01	1.1
1.17	0.72	2.01
1.88	1.01	1.36
2.53	1.03	2.55
1.88	1.01	1.37
1.15	0.99	1.12
1.47	1.04	1.75
1.47	1.14	2.06
1.4	0.96	1.15
0.95	1.09	1.46
2.09	0.92	1.59
1.97	0.93	1.1
1.3	0.93	1.26
1.37	1.11	0.82
1.64	0.95	1.21
2.4	0.87	1.58
1.84	1.02	1.9
0.77	0.97	1
1.08	1.01	1.64
1.71	0.96	1.54
1.43	1	1.44
2.11	1.07	1.73
2.6	1.07	1.5
1.6	1.01	1.53
1.47	0.9	1.63
2.33	0.98	2.43
1.72	0.95	1.51
1.49	0.97	1.05
1.85	1.04	1.23
1.23	0.96	1.06
1.36	1.08	2.07
1.17	1.02	1.47
1.3	1	1.24
0.77	1.03	1.03
1.55	1.07	1.38
0.62	1.01	0.77
1.19	0.97	1.09
1.3	1.12	1.31
2.2	1.03	1.72
1.93	1	1.5
1.99	1.03	1.5
2.52	0.96	2.34
1.67	0.95	1.14
1.41	0.95	1.6
1.47	1	1.16
1.25	0.97	1.18
2.42	1.08	2.19
1.8	1	1.68
1.56	1.06	1.48
2	1.04	1.63
2.14	1.15	1.6
1.08	0.82	1.03
1.72	1.12	1.43
1.52	1.01	1.09
1.33	0.94	1.93
1.48	0.95	1.3
2.87	0.97	2.29
0.56	1	1.39
1.87	0.98	1.38
1.05	0.87	2.94
1.78	0.9	2.32
2.23	0.99	1.52
1.51	1.04	1.35
1.61	1.06	1.58
3.02	1.23	2.65
1.78	1.06	1.51
2.23	1	1.8
1.5	1.03	1.39
1.17	0.99	0.74
1.21	0.89	0.93
2.21	1.13	1.66
0.85	1.02	1.58
1.17	0.88	1.18
1.16	0.97	1.47
1.32	0.81	2.21
1.38	0.97	1.28
1.36	0.98	1.1
2.02	0.86	2.36
1.31	1.02	1.37
1.14	0.96	1.03
2.03	1.01	1.71
1.36	1	1.17
1.42	1.01	1.38
1.32	0.97	1.32
1.21	0.92	1.33
1.79	1.07	1.67
0.75	0.96	1.08
1.79	1.01	1.41
2.13	0.87	1.09
2.92	1.02	3.21
2.4	1.12	2.26
1.67	1.05	2.29
1.73	1.04	2.93
1.86	1.07	1.99
1.5	0.92	1.59
2.09	0.99	1.72
1.47	0.93	2.02
3.49	1.07	1.57
3.29	1.19	4.94
0.98	1.12	1.56
1.35	0.95	1.28
2.3	1.15	1.85
2.07	1.08	2.62
1.24	1.04	1.53
1.25	0.96	1.03
1.31	1.1	1.16
1.92	1.07	1.14
1.63	1	1.28
1.89	1.04	2.08
1.85	0.98	1.26
1.41	1.11	1.61
2.25	1	1.51
1.59	1.05	1.48
2.06	1.09	1.65
1.37	1.12	2.67
0.73	0.87	1.87
2.49	1.04	2.36
2.67	1.05	1.79
1.06	0.99	1.29
1.74	1.03	1.43
1.81	1.13	1.86
0.89	0.91	0.9
2.12	0.92	1.92
1.35	1.04	1.51
2.29	1	2.22
1.99	1.02	1.51
1.85	1.03	1.52
1.23	0.99	1.02
1.99	1.12	2.2
0.7	0.9	0.65
1.48	1.06	1
1.31	0.92	0.98
1.88	1.07	2.26
2.38	1.06	1.75
1.7	1.03	1.75
0.98	1.05	1.36
1.78	1	1.61
0.94	0.82	1.08
1.2	0.91	1.44
1.35	0.93	0.96
1.08	0.99	1.09
1.48	1.09	1.81
1.9	1.02	1.2
1.68	1.04	2.26
1.18	0.88	1.29
1.72	0.96	1.42
1.99	1.12	1.32
1.72	0.95	2.14
1.78	1.08	1.47
1.14	1	1.22
1.16	0.82	1.2
2.37	1.02	1.98
2.14	1.04	2
2.51	1.03	1.94
1.07	1	1.04
1.34	0.99	1.19
1.31	0.86	1.56
2.15	1.04	1.48
0.86	0.81	0.94
0.86	0.9	0.83
1.93	0.95	1.09
2.6	1.06	1.64
1.42	0.84	1.36
0.76	0.9	0.99
1.91	1.15	1.18
1.19	1.04	1.4
1.94	0.86	1.12
0.93	0.95	1.38
2.17	0.84	2.01
1.04	1.05	1.3
1.27	1.04	0.99
1.37	0.96	1.4
1.52	0.96	1.09
1.43	1.01	1.4
1.37	0.91	1.62
0.94	1.01	1.33
1.44	0.98	1.55
0.93	1.01	1.12
2.94	0.86	1.77
0.97	0.98	1.14
2.1	1.07	1.63
1.66	0.99	2
2.49	1.11	1.93
1.66	1.07	1.56
2.19	1.13	1.49
1.51	0.99	1.33
2.34	1.1	2.06
1.02	0.93	0.84
2.31	1.04	2.41
1.09	1.09	0.77
0.61	0.86	0.8
1.24	1	1.54
1.83	1	1.57
1.67	1.03	1.61
0.98	1.25	1.71
1.61	0.96	1.19
1.41	1.01	2.74
1.5	0.86	1.37
2.06	0.95	1.53
1.9	0.88	1.52
1.51	1.02	1.63
1.61	0.94	1.57
2.26	0.89	1.74
2.55	1.03	1.96
1.57	1	1.19
2.54	1.08	1.99
1.78	0.98	1.58
1.37	0.98	1.31
2.15	0.95	1.59
1.8	0.87	2.86
1.53	1.08	1.69
1.6	1.01	1.22
2.01	1.19	1.73
0.9	0.93	1.01
1.44	1	2.03
1.71	1.04	1.45
0.9	0.92	1.21
1.24	0.95	1.5
2.67	1.12	2.4
1.56	0.98	1.17
1.44	0.9	1.03
1.2	0.96	1.4
1.75	1.01	1.33
1.33	0.72	1.78
1.26	1.58	2.09
4.28	1.18	1.83
1.48	1.03	1.34
1.84	0.96	1.11
1.05	1.07	2.08
0.91	1.02	1.05
2.85	1.08	1.43
1.55	0.97	1.1
1.27	1	1.46
1.52	0.96	1.54
1.62	1.04	1.32
1.24	0.93	1.4
1.41	1.03	1.21
0.86	0.91	0.9
0.98	0.83	1.7
1.66	0.87	2.5
1.8	1.01	1.54
0.36	0.71	0.44
2.39	1.02	1.54
1.23	1.05	0.9
2.82	1.12	3.2
1.44	1.05	2.27
1.94	1.02	1.03
1.36	0.96	1.03
1.74	1.06	1.51
2.67	0.98	1.84
1.47	1	1.31
1.58	0.86	0.89
0.99	1.12	1.63
1.49	0.92	1.23
1.82	0.9	1.43
2.12	1.03	1.35
2.58	1	2.02
1.17	0.96	1.3
1.49	0.95	1.37
1.74	1.08	1.38
2.35	1.08	1.83
1.71	0.98	1.64
1.57	0.93	1.48
0.93	0.69	0.99
1.5	1.04	1.64
1.92	1.03	1.87
1.66	1.04	1.82
2.66	1.03	1.81
1.43	1.03	1.13
2.71	0.96	1.73
0.99	0.97	0.89
1.27	0.99	1.38
1.23	1.04	2.12
1.54	0.9	1.37
2.03	1.12	1.51
2.25	1	1.9
0.89	0.89	1.29
1.47	0.96	1.49
1.68	1.1	1.34
1.14	1.17	1.52
